,Text,Tokens,Good A,Good B,Good C
0,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",730,1,2,None
1,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
2,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
3,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
4,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
5,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
6,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
7,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",736,1,2,None
8,"{
  ""Good A"": ""Person 1"",
  ""Good B"": ""Person 2"",
  ""Good C"": ""None""
}",735,1,2,None
9,"{
  ""Good A"": ""Person 1"",
  ""Good B"": ""Person 2"",
  ""Good C"": ""None""
}",735,2,1,None
10,"{
  ""Good A"": ""Person 1"",
  ""Good B"": ""Person 2"",
  ""Good C"": ""None""
}",735,1,2,None
11,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
12,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
13,"{
  ""Good A"": ""Person 1"",
  ""Good B"": ""Person 2"",
  ""Good C"": ""None""
}",735,1,2,None
14,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
15,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
16,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
17,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
18,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
19,"{
  ""Good A"": ""Person 1"",
  ""Good B"": ""Person 2"",
  ""Good C"": ""None""
}",735,1,2,None
20,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
21,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
22,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
23,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
24,"{
  ""Good A"": ""Person 1"",
  ""Good B"": ""Person 2"",
  ""Good C"": ""None""
}",735,1,2,None
25,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",729,1,2,None
26,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
27,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
28,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
29,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
30,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
31,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
32,"{
  ""Good A"": ""Person 1"",
  ""Good B"": ""Person 2"",
  ""Good C"": ""None""
}",735,1,2,None
33,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
34,"{
  ""Good A"": ""Person 1"",
  ""Good B"": ""Person 2"",
  ""Good C"": ""None""
}",735,1,2,None
35,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
36,"{
  ""Good A"": ""Person 1"",
  ""Good B"": ""Person 2"",
  ""Good C"": ""None""
}",735,1,2,None
37,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
38,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
39,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
40,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
41,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",729,1,2,None
42,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
43,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,2,1,None
44,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
45,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
46,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
47,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",726,1,2,None
