,Text,Good A,Good B,Good C,Good D,Good E,Good F
0,"{
""Person 1"": [""Good D"", ""Good F""],
""Person 2"": [""Good A"", ""Good B"", ""Good C""],
""Person 3"": [""Good E""]
}",2,2,2,1,3,1
1,"{
""Person 1"": [""Good A"", ""Good C"", ""Good E""],
""Person 2"": [""Good B"", ""Good D"", ""Good F""],
""Person 3"": [""Good A"", ""Good C"", ""Good E""]
}",1,2,1,2,1,2
2,"{
""Person 1"": [""Good A"", ""Good C"", ""Good E""],
""Person 2"": [""Good B"", ""Good D"", ""Good F""],
""Person 3"": [""Good A"", ""Good B""]
}",3,3,1,2,1,2
3,"{
""Person 1"": [""Good C"", ""Good E"", ""Good F""],
""Person 2"": [""Good A"", ""Good B"", ""Good D""],
""Person 3"": [""Good A""]
}",3,2,1,2,1,1
4,"{
""Person 1"": [""Good B"", ""Good C""],
""Person 2"": [""Good A"", ""Good F""],
""Person 3"": [""Good D"", ""Good E""]
}",2,1,1,3,3,2
5,"{
""Person 1"": [""Good C"", ""Good E""],
""Person 2"": [""Good A"", ""Good D""],
""Person 3"": [""Good B"", ""Good F""]
}",2,3,1,2,1,3
6,"{
""Person 1"": ""Good C, Good E"",
""Person 2"": ""Good A, Good B, Good D"",
""Person 3"": ""Good F""
}",2,2,1,2,1,3
7,"{
""Person 1"": [""Good A"", ""Good C"", ""Good E""],
""Person 2"": [""Good B"", ""Good D"", ""Good F""],
""Person 3"": [""Good A"", ""Good B""]
}",1,2,1,2,1,2
8,"{
""Person 1"": [""Good B"", ""Good C"", ""Good E""],
""Person 2"": [""Good A"", ""Good D"", ""Good F""],
""Person 3"": [""Good B""]
}",2,1,1,2,1,2
9,"{
""Person 1"": [""Good C"", ""Good E""],
""Person 2"": [""Good A"", ""Good F""],
""Person 3"": [""Good B"", ""Good D""]
}",2,3,1,3,1,2
10,"{
""Person 1"": ""Good B, Good E"",
""Person 2"": ""Good A, Good D, Good F"",
""Person 3"": ""Good C""
}",2,1,3,2,1,2
11,"{
""Person 1"": [""Good B"", ""Good D"", ""Good F""],
""Person 2"": [""Good A"", ""Good C""],
""Person 3"": [""Good E""]
}",2,1,2,1,3,1
12,"{ ""Person 1"": [""Good A"", ""Good B""], ""Person 2"": [""Good D"", ""Good F""], ""Person 3"": [""Good C"", ""Good E""] }",1,1,3,2,3,2
13,"{
""Person 1"": [""Good A"", ""Good C"", ""Good F""],
""Person 2"": [""Good B"", ""Good D""],
""Person 3"": [""Good E""]
}",1,2,1,2,3,1
