,Text,Tokens,Good A,Good B,Good C,Good D
0,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""Person 3""
}",0,2,1,3,3
1,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,2,1,2,3
2,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,2,1,3,3
3,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,2,1,2,3
4,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,2,1,2,3
5,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,2,1,2,3
6,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,1,1,2,3
7,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,1,1,2,3
8,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,2,1,2,3
9,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,1,1,2,3
10,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""Person 3""
}",0,2,1,3,3
11,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,2,1,2,3
12,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,2,1,2,3
13,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,1,2,3,1
14,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,1,1,2,3
15,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,2,1,2,3
16,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,2,1,2,3
17,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,2,1,2,3
18,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,2,1,2,3
19,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",0,2,1,2,3
