,Text,Tokens,Good A,Good B,Good C
0,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
1,"{
""Good A"": ""None"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,1,2,1
2,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
3,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,2,1,None
4,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discard""
}",0,2,1,Discard
5,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
6,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discard""
}",0,1,2,Discard
7,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
8,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
9,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discard""
}",0,1,2,Discard
10,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
11,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,2,1,None
12,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,2,1,None
13,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None""
}",0,1,2,None
14,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
15,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discarded""
}",0,1,2,Discarded
16,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
17,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
18,"{
 ""Good A"": ""Person 1"",
 ""Good B"": ""Person 2"",
 ""Good C"": ""None""
}",0,2,1,None
19,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discarded""
}",0,1,2,Discarded
20,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Discarded""
}",0,1,2,Discarded
21,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discarded""
}",0,2,1,Discarded
22,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
23,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
24,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
25,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
26,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,2,1,None
27,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,1,2,1
28,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
29,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,2,1,None
30,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discard""
}",0,1,2,Discard
31,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
32,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
33,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
34,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,2,1,None
35,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
36,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
37,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
38,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,2,1,None
39,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
40,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
41,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
42,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
43,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discard""
}",0,1,2,Discard
44,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
45,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discard""
}",0,1,2,Discard
46,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,1,2,1
47,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None""
}",0,2,1,None
48,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None""
}",0,1,2,None
49,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discard""
}",0,1,2,Discard
50,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
51,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
52,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
53,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,2,1,None
54,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,2,1,None
55,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
56,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Discarded""
}",0,1,2,None
57,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
58,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
59,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None""
}",0,2,1,None
60,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None""
}",0,1,2,None
61,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,1,2,None
62,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
63,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
64,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Discard""
}",0,1,2,Discard
65,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,2,1,None
66,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Discarded""
}",0,2,1,None
67,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
68,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None""
}",0,1,2,None
69,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discard""
}",0,1,2,Discard
70,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,1,2,None
71,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,1,2,1
72,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None""
}",0,2,1,None
73,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
74,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
75,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
76,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
77,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2""
}",0,2,1,2
78,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
79,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,2,1,None
80,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discard""
}",0,1,2,Discard
81,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discard""
}",0,2,1,None
82,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None""
}",0,1,2,None
83,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discarded""
}",0,1,2,Discarded
84,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
85,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None""
}",0,2,1,Discard
86,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
87,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,1,2,Discarded
88,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
89,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,2,1,Discard
90,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,1,2,None
91,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
92,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
93,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None""
}",0,2,1,None
94,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discard""
}",0,1,2,None
95,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
96,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
97,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
98,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None""
}",0,1,2,None
99,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discarded""
}",0,1,2,Discarded
