,Text,Tokens,Good A,Good B,Good C,You money,Person 2 money,Person 3 money
0,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 4,
""Person 2 money"": 1,
""Person 3 money"": 4
}",0,You,2,3,4,1,4
1,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": ""2"",
""Person 2 money"": ""4"",
""Person 3 money"": ""3""
}",0,You,2,3,2,4,3
2,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 3,
""Person 2 money"": 0,
""Person 3 money"": 6
}",0,You,3,2,6,3,0
3,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 9,
""Person 3 money"": 0
}",0,You,2,3,0,9,0
4,"``` JSON
{
""Good A"": ""Person 2"",
""Good B"": ""You"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 9,
""Person 3 money"": 0
}
```",0,You,2,3,3,3,3
5,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""You money"": 4,
""Person 2 money"": 0,
""Person 3 money"": 5
}",0,You,2,3,3,3,3
6,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 3,
""Person 2 money"": 6,
""Person 3 money"": 0
}",0,You,2,3,3,6,0
7,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 2,
""Person 2 money"": 4.5,
""Person 3 money"": 2.5
}",0,You,2,3,2,4.5,2.5
8,"{
""Good A"": ""You"",
""Good B"": ""Person 3"",
""Good C"": ""Person 2"",
""You money"": 3,
""Person 2 money"": 2,
""Person 3 money"": 4
}",0,You,2,3,0,3,6
9,"{
""Good A"": ""You"",
""Good B"": ""Person 3"",
""Good C"": ""Person 2"",
""You money"": 2,
""Person 2 money"": 5,
""Person 3 money"": 2
}",0,You,3,2,2,5,2
10,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 3,
""Person 2 money"": 0,
""Person 3 money"": 6
}",0,You,2,3,3,0,6
