,Text,Tokens,Good A,Good B,Good C
0,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,1,2,1
1,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,2,1,1
2,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,2,1,Discarded
3,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discard""
}",0,1,2,Discard
4,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None""
}",0,1,2,None
5,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,1,2,1
6,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None""
}",0,1,2,None
7,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,2,1,1
8,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discard""
}",0,2,1,Discard
9,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,2,1,1
10,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Discarded""
}",0,1,2,Discarded
11,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 2""
}",0,1,2,2
12,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None""
}",0,2,1,None
13,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,2,1,1
14,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
15,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discard""
}",0,1,2,None
16,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Discarded""
}",0,1,2,None
17,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,2,1,None
18,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,2,1,None
19,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 2""
}",0,1,2,2
20,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,1,2,1
21,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Discard""
}",0,1,2,Discard
22,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
23,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,1,2,1
24,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
25,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,2,1,None
26,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
27,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,1,2,1
28,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1""
}",0,1,2,1
29,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
30,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
31,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None""
}",0,1,2,None
32,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
33,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None""
}",0,1,2,None
