,Text,Tokens,Good A,Good B,Good C,Good D,Person 1 money,Person 2 money,Person 3 money
0,"{
""Person 1"": ""[(Good A, Good D), 2]"",
""Person 2"": ""[(Good B, Good C), 3]"",
""Person 3"": ""[(Good A, Good C), 2]"",
}",1174,3,None,2,1,2,3,2
1,"{
""Person 1"": ""[(Good A, Good D), 2]"",
""Person 2"": ""[(Good C), 4]"",
""Person 3"": ""[(Good B, Good C), 1]"",
}",1168,3,1,2,None,2,4,1
2,"{
""Person 1"": ""[(Good A, Good D), 3]"",
""Person 2"": ""[(Good C), 4]"",
""Person 3"": ""[(Good A, Good C), 0]"",
}",1168,3,None,2,1,3,4,0
3,"{
""Person 1"": ""[Good A, Good D, 1]"",
""Person 2"": ""[Good C, 2]"",
""Person 3"": ""[Good B, Good C, 4]""
}",1162,3,None,2,1,1,2,4
4,"{
""Person 1"": ""[(Good A, Good D), 3]"",
""Person 2"": ""[(Good C), 4]"",
""Person 3"": ""[(Good A, Good C), 0]"",
}",1168,3,None,2,1,3,4,0
5,"{
""Person 1"": ""[Good D, 3]"",
""Person 2"": ""[Good C, 4]"",
""Person 3"": ""[Good A, 3]""
}",1150,3,None,2,1,0,4,3
6,"{
""Person 1"": ""[Good A, 3 units of money]"",
""Person 2"": ""[Good C, 4 units of money]"",
""Person 3"": ""[Good B, 2 units of money]""
}",1166,3,None,2,None,3,0,4
7,"{
""Person 1"": ""[Good D, 3]"",
""Person 2"": ""[Good C, 4]"",
""Person 3"": ""[Good A, 7]"",
}",1150,3,None,2,1,0,3,4
8,"{
""Person 1"": ""[Good D, 3]"",
""Person 2"": ""[Good C, 4]"",
""Person 3"": ""[Good A, 7]"",
}",1150,3,None,2,1,0,4,3
9,"{
""Person 1"": ""[Good A, Good D, 3]"",
""Person 2"": ""[Good C, 4]"",
""Person 3"": ""[Good B, Good C, 0]""
}",1162,3,None,2,1,3,4,0
10,"{
""Person 1"": ""[Good D, 3]"",
""Person 2"": ""[Good C, 3]"",
""Person 3"": ""[Good A, 4]""
}",1150,3,None,2,1,0,3,4
11,"{
""Person 1"": ""[(Good A, Good D), 1]"",
""Person 2"": ""[(Good C), 6]"",
""Person 3"": ""[(Good B), 0]""
}",1162,3,None,2,1,1,6,0
12,"{
""Person 1"": ""[Good A, Good D, 1]"",
""Person 2"": ""[Good C, 5]"",
""Person 3"": ""[Good B, Good C, 1]""
}",1162,3,None,2,1,1,5,1
13,"{
""Person 1"": ""[Good D, 3]"",
""Person 2"": ""[Good C, 2]"",
""Person 3"": ""[Good A, 2]""
}",1150,3,None,2,1,0,2,2
14,"{
""Person 1"": ""[(Good A), 2]"",
""Person 2"": ""[(Good C), 3]"",
""Person 3"": ""[(Good A, Good D), 2]""
}",1162,3,None,2,3,2,3,2
