,Text,Tokens,Good A,Good B,Good C,Good D
0,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[]""
}",843,3,None,1,None
1,"{
""Person 1"": ""[Good B]"",
""Person 2"": ""[Good A, Good C]"",
""Person 3"": ""[Good A, Good C]""
}",856,2,1,3,None
2,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[]""
}",845,2,2,1,None
3,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A]"",
""Person 3"": ""[Good B]""
}",841,2,3,1,None
4,"{
""Person 1"": ""[Good A, Good C]"",
""Person 2"": ""[Good B]"",
""Person 3"": ""[Good D]""
}",847,2,None,1,3
5,"{
""Person 1"": ""[Good A, Good D]"",
""Person 2"": ""[Good B, Good C]"",
""Person 3"": ""[]""
}",851,2,1,None,1
6,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[Good D]""
}",849,2,2,1,3
7,"{
  ""Person 1"": ""[Good C]"",
  ""Person 2"": ""[Good A]"",
  ""Person 3"": ""[Good B]""
}",847,2,3,1,None
8,"{
""Person 1"": ""[Good B, Good C]"",
""Person 2"": ""[Good A]"",
""Person 3"": ""[Good A, Good C]""
}",851,3,None,1,None
9,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[]""
}",845,2,2,1,None
10,"{
""Person 1"": ""[Good A, Good C]"",
""Person 2"": ""[Good B]"",
""Person 3"": ""[Good D]""
}",847,2,1,3,None
11,"{
  ""Person 1"": ""[Good C]"",
  ""Person 2"": ""[Good A, Good B]"",
  ""Person 3"": ""[Good D]""
}",855,2,2,1,3
12,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A]"",
""Person 3"": ""[Good B, Good D]""
}",847,2,None,1,3
13,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[Good D]""
}",849,2,2,1,3
14,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good D]"",
""Person 3"": ""[Good B]""
}",849,2,3,1,2
15,"{
  ""Person 1"": ""[Good A]"",
  ""Person 2"": ""[Good C]"",
  ""Person 3"": ""[Good B, Good D]""
}",853,2,None,3,3
16,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[Good A, Good B, Good D]""
}",859,2,3,1,None
17,"{
  ""Person 1"": ""[Good B, Good C]"",
  ""Person 2"": ""[Good A, Good D]"",
  ""Person 3"": ""[]""
}",859,2,1,1,2
18,"{
""Person 1"": ""[Good B, Good C]"",
""Person 2"": ""[Good A, Good D]"",
""Person 3"": ""[]""
}",851,2,1,1,None
19,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[]""
}",845,2,2,1,None
20,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[]""
}",845,2,2,1,None
21,"{
""Person 1"": ""[Good A, Good B]"",
""Person 2"": ""[Good C]"",
""Person 3"": ""[Good D]""
}",847,2,1,None,3
22,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A]"",
""Person 3"": ""[Good B, Good D]""
}",847,2,None,1,3
23,"{
  ""Person 1"": ""[Good C]"",
  ""Person 2"": ""[Good A, Good B]"",
  ""Person 3"": ""[Good A, Good B, Good D]""
}",872,2,3,1,3
24,"{
""Person 1"": ""[Good B, Good C]"",
""Person 2"": ""[Good A, Good D]"",
""Person 3"": ""[Good A, Good B, Good C]""
}",863,3,None,None,2
25,"{
  ""Person 1"": ""[Good A]"",
  ""Person 2"": ""[Good C]"",
  ""Person 3"": ""[Good B, Good D]""
}",853,2,None,3,3
26,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[Good D]""
}",847,2,None,1,3
27,"{
  ""Person 1"": ""[Good C]"",
  ""Person 2"": ""[Good A]"",
  ""Person 3"": ""[Good B]""
}",847,2,3,1,None
28,"{
""Person 1"": ""[Good B, Good C]"",
""Person 2"": ""[Good A, Good D]"",
""Person 3"": ""[Good A, Good C]""
}",859,2,1,3,None
29,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[Good D]""
}",849,2,2,1,3
30,"{
  ""Person 1"": ""[Good C]"",
  ""Person 2"": ""[Good A]"",
  ""Person 3"": ""[Good B, Good D]""
}",855,3,2,1,3
31,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[]""
}",845,2,2,1,None
32,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[Good D]""
}",849,2,2,1,3
33,"{
""Person 1"": ""[Good A, Good B]"",
""Person 2"": ""[Good C]"",
""Person 3"": ""[Good D]""
}",847,2,None,1,3
34,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good C]"",
""Person 3"": ""[Good B, Good D]""
}",853,2,3,1,None
35,"{
  ""Person 1"": ""[Good C]"",
  ""Person 2"": ""[Good A, Good B]"",
  ""Person 3"": ""[Good D]""
}",855,2,2,1,3
36,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A]"",
""Person 3"": ""[Good B, Good D]""
}",849,2,3,1,3
37,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[Good D]""
}",849,2,2,1,3
38,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good D]"",
""Person 3"": ""[Good B]""
}",849,2,3,1,2
39,"{
""Person 1"": ""[Good B, Good C]"",
""Person 2"": ""[Good A, Good D]"",
""Person 3"": ""[]""
}",851,2,1,1,None
40,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A]"",
""Person 3"": ""[Good B]""
}",841,2,3,1,None
41,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[Good D]""
}",847,2,None,1,3
42,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good D]"",
""Person 3"": ""[Good B]""
}",849,2,3,1,2
43,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good D]"",
""Person 3"": ""[Good B]""
}",847,2,3,1,None
44,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[]""
}",845,2,2,1,None
