,Text,Tokens,Good A,Good B,Good C,Good D,Good E,Good F
0,"{
  ""Good A"": ""Person 2"",
  ""Good B"": ""Person 3"",
  ""Good C"": ""Person 1"",
  ""Good D"": ""Person 2"",
  ""Good E"": ""Person 1"",
  ""Good F"": ""Person 2""
}",1233,3,2,1,None,3,2
1,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 3"",
""Good C"": ""Person 1"",
""Good D"": ""None"",
""Good E"": ""Person 1"",
""Good F"": ""Person 2""
}",1211,3,1,2,None,3,2
2,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1217,2,1,3,None,3,1
3,"{
  ""Good A"": ""Person 2"",
  ""Good B"": ""Person 1"",
  ""Good C"": ""Person 3"",
  ""Good D"": ""Person 2"",
  ""Good E"": ""Person 3"",
  ""Good F"": ""Person 1""
}",1233,2,None,3,2,1,1
4,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3"",
""Good F"": ""None""
}",1211,3,1,2,2,3,None
5,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1217,2,1,1,3,3,1
6,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,1,3,None,3,1
7,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,1,3,None,3,1
8,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 3"",
""Good C"": ""Person 1"",
""Good D"": ""None"",
""Good E"": ""Person 1"",
""Good F"": ""Person 2""
}",1211,2,3,1,None,1,2
9,"{
""Good A"": ""Person 2"",
""Good B"": ""None"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,None,3,2,3,1
10,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1209,2,None,3,None,3,1
11,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",1211,2,1,3,None,3,2
12,"{
  ""Good A"": ""Person 2"",
  ""Good B"": ""Person 1"",
  ""Good C"": ""Person 3"",
  ""Good D"": ""None"",
  ""Good E"": ""Person 3"",
  ""Good F"": ""Person 1""
}",1229,2,1,3,None,3,1
13,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,1,None,2,3,1
14,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,1,3,None,3,1
15,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1215,None,1,3,2,3,1
16,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3"",
""Good E"": ""Person 1"",
""Good F"": ""Person 2""
}",1215,3,1,2,None,1,2
17,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,1,3,None,3,1
18,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1"",
}",1211,2,1,3,None,3,1
19,"{
""Good A"": ""Person 2"",
""Good B"": ""None"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,None,1,3,3,1
20,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,1,3,None,3,1
21,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 3"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1217,2,3,1,3,3,1
22,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1217,2,1,3,None,3,1
23,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 3"",
""Good C"": ""None"",
""Good D"": ""Person 3"",
""Good E"": ""Person 1"",
""Good F"": ""Person 2""
}",1217,2,3,None,3,1,2
24,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""Person 3"",
""Good E"": ""None"",
""Good F"": ""Person 1""
}",1211,2,1,3,3,None,1
25,"{
""Good A"": ""Person 2"",
""Good B"": ""None"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""None"",
""Good F"": ""Person 1""
}",1205,2,None,1,3,None,1
26,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,1,3,None,3,1
27,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1215,2,1,3,None,3,1
28,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 3"",
""Good C"": ""Person 1"",
""Good D"": ""None"",
""Good E"": ""Person 1"",
""Good F"": ""Person 2""
}",1211,3,3,1,None,3,2
29,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,1,None,3,3,1
30,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 3"",
""Good C"": ""Person 1"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,3,1,None,3,1
31,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,1,3,None,3,1
32,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""None""
}",1205,2,1,3,None,3,None
33,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1215,2,1,3,None,3,1
34,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1209,2,None,3,None,3,1
35,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",1211,2,1,3,None,3,2
36,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,1,3,None,3,1
37,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1215,3,1,2,None,3,2
38,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,1,3,None,3,1
39,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1217,2,3,1,3,3,1
40,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""Person 3"",
""Good E"": ""Person 1"",
""Good F"": ""Person 1""
}",1217,2,1,3,3,1,1
41,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,1,None,3,3,1
42,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",1215,2,1,1,None,3,2
43,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",1211,2,1,3,None,3,2
44,"{
""Good A"": ""Person 2"",
""Good B"": ""None"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,None,1,3,3,1
45,"{
""Good A"": ""None"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,None,1,3,2,3,1
46,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 3"",
""Good C"": ""Person 1"",
""Good D"": ""None"",
""Good E"": ""Person 1"",
""Good F"": ""Person 2"",
}",1217,2,3,1,None,1,2
47,"{
  ""Good A"": ""Person 2"",
  ""Good B"": ""Person 1"",
  ""Good C"": ""Person 3"",
  ""Good D"": ""None"",
  ""Good E"": ""Person 3"",
  ""Good F"": ""Person 1""
}",1245,2,1,3,None,3,1
48,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,1,3,None,3,1
49,"{
""Good A"": ""Person 2"",
""Good B"": ""None"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",1211,2,None,1,3,3,2
50,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1217,2,1,3,3,3,2
51,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,1,3,None,3,1
52,"{
""Good A"": ""Person 2"",
""Good B"": ""None"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,None,3,1,3,1
53,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,2,1,3,None,3,1
54,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1217,2,1,3,None,3,1
55,"{
""Good A"": ""Person 2"",
""Good B"": ""None"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1211,3,1,2,None,3,1
