,Text,Good A,Good B,Good C,Person 1 money,Person 2 money,Person 3 money
0,"{
""Person 1"": ""[Good A, 2]"",
""Person 2"": ""[Good B, 1.5]"",
""Person 3"": ""[Good C, 1.5]""
}",1,2,3,2,1.5,1.5
1,"{
""Person 1"": ""[Good A, \$2.50]"",
""Person 2"": ""[Good B, Good C, \$1.50]"",
""Person 3"": ""[Good A, \$1]""
}",3,2,2,$2.50,$1.50,$1
2,"{
""Person 1"": [""Good A"", ""1 unit of money""],
""Person 2"": [""Good B"", ""4 units of money""],
""Person 3"": [""Good C"", ""0 units of money""]
}",1,2,3,1,4,0
3,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 5]"",
""Person 3"": ""[Good C, 0]""
}",1,2,3,0,5,0
4,"{
""Person 1"": ""[Good A, 3]"",
""Person 2"": ""[Good B, 2]"",
""Person 3"": ""[Good C, 0]""
}",1,2,3,3,2,0
5,"{
""Person 1"": [""Good A"", ""2 units of money""],
""Person 2"": [""Good B"", ""3 units of money""],
""Person 3"": [""Good C""]
}",1,2,3,2,3,0
6,"{
""Person 1"": [""Good A"", ""3""],
""Person 2"": [""Good B"", ""2""],
""Person 3"": [""Good C"", ""0""]
}",1,2,3,2,3,0
7,"{
""Person 1"": [""Good A"", ""0""],
""Person 2"": [""Good B"", ""2.5""],
""Person 3"": [""Good C"", ""2.5""]
}",1,2,3,0,2.5,2.5
8,"{
""Person 1"": ""[Good A, 1 unit of money]"",
""Person 2"": ""[Good B, 3 units of money]"",
""Person 3"": ""[Good C, 1 unit of money]""
}",1,2,3,1,3,1
9,"{
""Person 1"": ""[Good B, 3]"",
""Person 2"": ""[Good A, Good C, 2]"",
""Person 3"": ""[Good A, 0]""
}",3,1,2,3,2,0
10,"{
""Person 1"": ""[Good A, Good C, 1]"",
""Person 2"": ""[Good B, 2]"",
""Person 3"": ""[4]""
}",1,2,1,1,2,4
11,"{
""Person 1"": ""[Good A, 1]"",
""Person 2"": ""[Good B, 3]"",
""Person 3"": ""[Good C, 1]""
}",1,2,3,1,3,0
12,"{
""Person 1"": [""Good A"", ""0""],
""Person 2"": [""Good B"", ""2""],
""Person 3"": [""Good C"", ""3""]
}",1,2,3,0,2,3
13,"{
""Person 1"": ""[Good A, 1 unit of money]"",
""Person 2"": ""[Good B, 2 units of money]"",
""Person 3"": ""[Good C, 2 units of money]""
}",1,2,3,1,2,2
14,"{
""Person 1"": ""[Good C, 0]"",
""Person 2"": ""[Good B, 2]"",
""Person 3"": ""[Good A, 3]""
}",3,2,1,0,2,3
15,"{
""Person 1"": [""Good C"", ""2""],
""Person 2"": [""Good A"", ""1""],
""Person 3"": [""Good B"", ""2""]
}",2,3,1,2,1,2
16,"{
""Person 1"": [""Good A"", ""1 unit of money""],
""Person 2"": [""Good B"", ""1 unit of money""],
""Person 3"": [""Good C"", ""3 units of money""]
}",1,2,3,1,1,3
17,"{
""Person 1"": [""Good A"", ""1 unit of money""],
""Person 2"": [""Good B"", ""2 units of money""],
""Person 3"": [""Good C"", ""2 units of money""]
}",1,2,3,1 unit of money,2 units of money,2 units of money
18,"```JSON
{
  ""Person 1"": [""Good A"", ""2""],
  ""Person 2"": [""Good B"", ""3""],
  ""Person 3"": [""Good C"", ""0""]
}
```",1,2,3,2,3,0
19,"{
""Person 1"": [""Good A"", ""2""],
""Person 2"": [""Good B"", ""2""],
""Person 3"": [""Good C"", ""1""]
}",1,2,3,2,2,1
20,"``` JSON
{
""Person 1"": [""Good A"", ""2 units of Money""],
""Person 2"": [""Good B"", ""3 units of Money""],
""Person 3"": [""Good C"", ""none of the Money""]
}
```",1,2,3,2,3,0
21,"{
""Person 1"": [""Good A"", ""Good B"", 5],
""Person 2"": [""Good C"", 0],
""Person 3"": [""Money: 5"", 0]
}",1,1,2,5,0,0
22,"{
""Person 1"": [""Good A"", ""1 unit of money""],
""Person 2"": [""Good B"", ""3 units of money""],
""Person 3"": [""Good C"", ""1 unit of money""]
}",1,2,3,1,3,1
23,"{
""Person 1"": ""[Good A, 2 units of money]"",
""Person 2"": ""[Good B, 1 unit of money]"",
""Person 3"": ""[Good C, 2 units of money]""
}",1,2,3,2,1,2
24,"{
""Person 1"": [""Good A"", 2.0],
""Person 2"": [""Good B"", 2.5],
""Person 3"": [""Good C"", 0.5]
}",1,2,3,2.0,2.5,0.5
25,"{
""Person 1"": [""Good A"", ""Good B"", ""0""],
""Person 2"": [""Good C"", ""3""],
""Person 3"": [""2""]
}",1,1,2,0,3,2
26,"{
""Person 1"": [""Good A"", ""0""],
""Person 2"": [""Good B"", ""2""],
""Person 3"": [""Good C"", ""3""]
}",1,2,3,0,2,3
27,"{
""Person 1"": [""Good A"", 1.5],
""Person 2"": [""Good B"", 2],
""Person 3"": [""Good C"", 1.5]
}",1,2,3,1.5,2,1.5
28,"{
""Person 1"": [""Good A"", ""2 units of money""],
""Person 2"": [""Good B"", ""1 unit of money""],
""Person 3"": [""Good C"", ""2 units of money""]
}",1,2,3,2,1,2
29,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 3]"",
""Person 3"": ""[Good C, 2]""
}",1,2,3,0,3,2
30,"{
""Person 1"": [""Good A"", ""2""],
""Person 2"": [""Good B"", ""3""],
""Person 3"": [""Good C"", ""0""]
}",1,2,3,2,3,0
31,"{
""Person 1"": [""Good A"", ""1""],
""Person 2"": [""Good B"", ""2""],
""Person 3"": [""Good C"", ""2""]
}",1,2,3,1,2,2
32,"{
""Person 1"": [""Good A"", ""1""],
""Person 2"": [""Good B"", ""2""],
""Person 3"": [""Good C"", ""2""]
}",1,2,3,1,2,2
33,"{
""Person 1"": ""[Good A, 0.5]"",
""Person 2"": ""[Good B, 4]"",
""Person 3"": ""[Good C, 0.5]""
}",1,2,3,0.5,4,0.5
34,"{
""Person 1"": [""Good A"", ""2 units of money""],
""Person 2"": [""Good B"", ""3 units of money""],
""Person 3"": [""Good C""]
}",1,2,3,2,3,0
35,"{
""Person 1"": [""Good A"", ""Good B"", ""2 units of money""],
""Person 2"": [""Good C"", ""3 units of money""],
""Person 3"": [""3 units of money""]
}",1,1,2,2,3,0
36,"{
""Person 1"": [""Good A"", ""2""],
""Person 2"": [""Good B"", ""3""],
""Person 3"": [""Good C"", ""0""]
}",1,2,3,2,3,0
37,"{
""Person 1"": [""Good A"", 0],
""Person 2"": [""Good B"", 3],
""Person 3"": [""Good C"", 2]
}",1,2,3,0,3,2
38,"```json
{
  ""Person 1"": [""Good A"", ""Good C"", 2],
  ""Person 2"": [""Good B"", 3],
  ""Person 3"": [""Good A"", 0]
}
```",1,2,1,2,3,0
39,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 2]"",
""Person 3"": ""[Good C, 3]""
}",1,2,3,0,2,3
40,"```JSON
{
""Person 1"": ""[Good A, 3 units of money]"",
""Person 2"": ""[Good B, 2 units of money]"",
""Person 3"": ""[Good C]""
}
```",1,2,3,3,2,0
41,"{
""Person 1"": [""Good A""],
""Person 2"": [""Good B"", 2 units of money],
""Person 3"": [""Good C"", 3 units of money]
}",1,2,3,0,2,3
42,"{
""Person 1"": ""[Good A, 2 units of money]"",
""Person 2"": ""[Good B, 3 units of money]"",
""Person 3"": ""[Good C, throw away Good B]""
}",1,2,3,2,3,0
43,"{
""Person 1"": ""[Good B]"",
""Person 2"": ""[Good A]"",
""Person 3"": ""[Good C]""
}",2,1,3,0,0,0
44,"{
""Person 1"": ""[(Good A, 3), (2)]"",
""Person 2"": ""[(Good C, 1), (Good B, 2)]"",
""Person 3"": ""[(Good A, 1), (2)]""
}",1,2,3,2,0,2
45,"{
""Person 1"": [""Good A"", ""2 units of money""],
""Person 2"": [""Good B"", ""3 units of money""],
""Person 3"": [""Good C"", ""throw away Good A""]
}",1,2,3,2 units of money,3 units of money,0 units of money
46,"```json
{
""Person 1"": [""Good A"", 2 units of money],
""Person 2"": [""Good B"", 3 units of money],
""Person 3"": [""Good C"", 0 units of money]
}
```",1,2,3,2,3,0
47,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 5]"",
""Person 3"": ""[Good C, 0]""
}",1,2,3,0,5,0
48,"{
""Person 1"": ""[Good A, 2 units of money]"",
""Person 2"": ""[Good B, 3 units of money]"",
""Person 3"": ""[Good C, Good A, 0 units of money]""
}",1,2,3,2,3,0
49,"```json
{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 2]"",
""Person 3"": ""[Good C, 3]""
}
```",1,2,3,0,2,3
50,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 5]"",
""Person 3"": ""[Good C, 0]""
}",1,2,3,0,5,0
51,"{
""Person 1"": [""Good A"", ""Good B"", 1],
""Person 2"": [""Good C"", 4],
""Person 3"": [""Good A"", 0]
}",1,1,2,1,4,0
52,"{
""Person 1"": [""Good A"", ""2""],
""Person 2"": [""Good B"", ""2""],
""Person 3"": [""Good C"", ""1""]
}",1,2,3,2,2,1
53,"{
""Person 1"": [""Good A"", ""1.5""],
""Person 2"": [""Good B"", ""2.5""],
""Person 3"": [""Good C"", ""1""]
}",1,2,3,1.5,2.5,1
54,"{
""Person 1"": [""Good A"", 3],
""Person 2"": [""Good C"", 2],
""Person 3"": [""Good B"", 0]
}",1,3,2,2,3,0
55,"{
""Person 1"": [""Good A"", ""2 units of money""],
""Person 2"": [""Good B"", ""3 units of money""],
""Person 3"": [""Good C"", ""0 units of money""]
}",1,2,3,2,3,0
56,"{
""Person 1"": [""Good A"", ""0""],
""Person 2"": [""Good B"", ""2""],
""Person 3"": [""Good C"", ""3""]
}",1,2,3,0,2,3
57,"``` JSON
{
""Person 1"": [""Good A"", ""2 units of money""],
""Person 2"": [""Good B"", ""3 units of money""],
""Person 3"": [""Good C"", ""0 units of money""]
}
```",1,2,3,2 units of money,3 units of money,0 units of money
