,Text,Tokens,Good A,Good B,Person 1 money,Person 2 money
0,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 10,
""Person 2 money"": 40
}",0,2,1,0,50
1,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 25,
""Person 2 money"": 25
}",0,1,2,25,25
2,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 10,
""Person 2 money"": 40
}",0,1,2,0,50
3,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 0,
""Person 2 money"": 50
}",0,1,2,10,40
4,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 25,
""Person 2 money"": 25
}",0,1,2,25,25
5,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 0,
""Person 2 money"": 50
}",0,1,2,25,25
6,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 10,
""Person 2 money"": 40
}",0,1,2,10,40
7,"```
{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 20,
""Person 2 money"": 30
}
```",0,1,2,25,25
8,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 25,
""Person 2 money"": 25
}",0,1,2,10,40
9,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 0,
""Person 2 money"": 50
}",0,1,2,0,50
10,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 0,
""Person 2 money"": 50
}",0,1,2,25,25
11,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 10,
""Person 2 money"": 40
}",0,1,2,20,30
12,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 25,
""Person 2 money"": 25
}",0,1,2,25,25
13,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 0,
""Person 2 money"": 50
}",0,1,2,25,25
14,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": ""0"",
""Person 2 money"": ""50""
}",0,1,2,0,50
15,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 0,
""Person 2 money"": 50
}",0,1,2,10,40
16,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": ""25"",
""Person 2 money"": ""25""
}",0,1,2,25,25
17,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 1"",
""Person 1 money"": 25,
""Person 2 money"": 25
}",0,1,2,25,25
18,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 50,
""Person 2 money"": 0
}",0,1,2,25,25
19,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 0,
""Person 2 money"": 50
}",0,1,2,25,25
