,Text,Tokens,Good A,Good B,Good C,Person 1 money,Person 2 money,Person 3 money
0,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, Good C, 0]"",
""Person 3"": ""[Good A, Good C, 0]""
}",1113,3,2,1,0,0,5
1,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 0]"",
""Person 3"": ""[Good C, 5]"",
}",1101,3,2,1,0,0,5
2,"{
""Person 1"": ""[Good C, 2]"",
""Person 2"": ""[Good B, 2]"",
""Person 3"": ""[Good A, 1]""
}",1101,3,2,1,2,3,0
3,"{
""Person 1"": ""[Good A, 0 units]"",
""Person 2"": ""[Good B, 0 units]"",
""Person 3"": ""[Good C, 5 units]""
}",1105,3,2,None,0,0,5
4,"{
""Person 1"": ""[Good A, 2]"",
""Person 2"": ""[Good B, 3]"",
""Person 3"": ""[Good C, 5]"",
}",1101,3,2,1,0,2,3
5,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 3]"",
""Person 3"": ""[Good A, Good C, 2]"",
}",1107,1,2,3,0,3,2
6,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 5]"",
""Person 3"": ""[Good C, 0]""
}",1099,3,2,None,0,0,5
7,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 2]"",
""Person 3"": ""[Good A, Good C], 3""
}",1107,3,2,3,0,2,3
8,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 0]"",
""Person 3"": ""[Good A, Good C, 2]""
}",1105,3,None,3,0,0,2
9,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 2.5]"",
""Person 3"": ""[Good A, Good C, 2.5]""
}",1119,1,2,3,0,2.5,2.5
10,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 0]"",
""Person 3"": ""[Good A, Good C, 2]"",
}",1107,3,2,3,0,1,4
11,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 3]"",
""Person 3"": ""[Good A, Good C, 2]"",
}",1107,3,2,3,0,3,2
12,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 0]"",
""Person 3"": ""[Good A, Good C, 0]"",
}",1107,3,2,3,0,0,5
13,"{
""Person 1"": ""[Good A, 5]"",
""Person 2"": ""[Good B, 0]"",
""Person 3"": ""[Good C, 0]"",
}",1101,3,2,1,0,5,0
14,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 0]"",
""Person 3"": ""[Good C, 5]""
}",1101,3,2,1,0,0,5
15,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 2]"",
""Person 3"": ""[Good C, 3]"",
}",1099,3,2,None,0,2,3
16,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 0]"",
""Person 3"": ""[Good A, Good C, 3]""
}",1105,1,None,3,0,0,3
17,"{
""Person 1"": ""[Good A, 5]"",
""Person 2"": ""[Good B, 2]"",
""Person 3"": ""[Good C, 3]"",
}",1101,3,2,1,0,3,2
18,"{
""Person 1"": ""[Good A, 45]"",
""Person 2"": ""[Good B, 40]"",
""Person 3"": ""[Good C, 45]""
}",1101,3,2,1,0,5,0
19,"{
""Person 1"": ""[Good A, 45]"",
""Person 2"": ""[Good B, 40]"",
""Person 3"": ""[Good C, 25]""
}",1101,3,2,1,0,0,5
20,"{
""Person 1"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 4]"",
""Person 3"": ""[Good C, 1]""
}",1101,3,2,1,0,1,4
21,"{
""Person 1"": ""[Good A, 5]"",
""Person 2"": ""[Good B, 2.5]"",
""Person 3"": ""[Good C, 5]""
}",1109,3,2,1,0,2.5,2.5
