,Text,Tokens,Good A,Good B,Good C,You money,Person 2 money,Person 3 money
0,"{
  ""You"": ""[(Good A, Good C), 3]"",
  ""Person 2"": ""[(Good B), 3]"",
  ""Person 3"": ""[(Good C), 3]"",
}",1127,3,2,You,3,3,3
1,"{
  ""You"": ""[Good A, 2]"",
  ""Person 2"": ""[Good B, Good C, 3]"",
  ""Person 3"": ""[Good A, Good C, 4]""
}",1134,3,2,You,4,3,2
2,"{
  ""You"": ""[(Good A), 3]"",
  ""Person 2"": ""[(Good C), 4]"",
  ""Person 3"": ""[(Good B), 2]""
}",1121,3,None,2,3,4,2
3,"{
""You"": ""[(Good A), 5]"",
""Person 2"": ""[(Good B), 2]"",
""Person 3"": ""[(Good C), 2]"",
}",1113,3,2,You,2,2,5
4,"{
  ""You"": ""[(Good A), 2]"",
  ""Person 2"": ""[(Good B), 4]"",
  ""Person 3"": ""[(Good C), 3]"",
}",1121,3,2,You,1,4,4
5,"{
  ""You"": ""[(Good A, Good C), 2]"",
  ""Person 2"": ""[(Good B), 4]"",
  ""Person 3"": ""[(Good A), 3]""
}",1127,3,2,You,2,4,3
6,"{
  ""You"": ""[(Good A, Good C), 3]"",
  ""Person 2"": ""[(Good B), 6]"",
  ""Person 3"": ""[(Good C), 0]"",
}",1127,You,2,3,3,6,0
7,"{
""You"": ""[(Good A, Good C), 3]"",
""Person 2"": ""[(Good B), 6]"",
""Person 3"": ""[(Good A), 0]"",
}",1117,You,2,You,3,6,0
8,"{
""You"": ""[(Good A, Good C), 3]"",
""Person 2"": ""[(Good B), 2]"",
""Person 3"": ""[(Good A, Good C), 4]"",
}",1125,3,None,2,3,2,4
9,"{
""You"": ""[Good A, 2]"",
""Person 2"": ""[Good B, 3]"",
""Person 3"": ""[Good C, 4]""
}",1107,3,2,You,3,4,2
10,"{
""You"": ""[Good A, 0]"",
""Person 2"": ""[Good B, 2]"",
""Person 3"": ""[Good C, 3]"",
}",1107,3,2,You,3,2,4
11,"{
  ""You"": ""[(Good A), 2]"",
  ""Person 2"": ""[(Good B), 4]"",
  ""Person 3"": ""[(Good C), 3]"",
}",1121,3,2,You,4,3,2
12,"{
  ""You"": ""[(Good A, Good C), 3]"",
  ""Person 2"": ""[(Good B), 6]"",
  ""Person 3"": ""[(Good B), 0]""
}",1134,2,2,You,3,6,0
13,"{
  ""You"": ""[(Good A), 0]"",
  ""Person 2"": ""[(Good B), 3]"",
  ""Person 3"": ""[(Good C), 6]""
}",1121,3,None,2,3,0,6
14,"{
  ""You"": ""[(Good A), 3]"",
  ""Person 2"": ""[(Good B), 3]"",
  ""Person 3"": ""[(Good C), 3]"",
}",1121,3,2,You,3,3,3
15,"{
""You"": ""[(Good A), 3]"",
""Person 2"": ""[(Good B), 3]"",
""Person 3"": ""[(Good C), 3]"",
}",1113,You,3,2,3,3,3
16,"{
""You"": ""[(Good A, Good C), 2]"",
""Person 2"": ""[(Good B), 4]"",
""Person 3"": ""[(Good A, Good B), 3]"",
}",1123,3,None,You,2,4,3
17,"{
  ""You"": ""[Good A, 6]"",
  ""Person 2"": ""[Good B, 3]"",
  ""Person 3"": ""[Good C, 9]""
}",1115,3,2,You,6,3,0
18,"{
  ""You"": ""[(Good A), 2]"",
  ""Person 2"": ""[(Good B), 3]"",
  ""Person 3"": ""[(Good C), 4]""
}",1121,3,2,You,3,6,0
