,Text,Good A,Good B,Good C,You money,Person 2 money,Person 3 money
0,"{
""You"": [""Good A"", ""3""],
""Person 2"": [""Good B"", ""6""],
""Person 3"": [""Good C"", ""0""]
}",You,2,3,3,6,0
1,"{
""You"": [""Good A"", ""Good C"", 2],
""Person 2"": [""Good B"", 4],
""Person 3"": [""Good A"", 3]
}",You,2,You,2,4,3
2,"{
""You"": [""Good A"", ""Good C"", 9],
""Person 2"": [""Good B"", 0],
""Person 3"": [0, 0]
}",You,2,You,9,0,0
3,"{
""You"": [""Good A"", ""$4""],
""Person 2"": [""Good B"", ""$3""],
""Person 3"": [""Good C"", ""$2""]
}",You,2,3,$4,$3,$2
4,"{
""You"": [""Good A"", ""Good C"", 2],
""Person 2"": [""Good B"", 7],
""Person 3"": [""3""]
}",You,2,You,2,7,0
5,"```json
{
""You"": [""Good A"", ""Good C"", 2],
""Person 2"": [""Good B"", 7],
""Person 3"": []
}
```",You,2,You,2,7,0
6,"{
""You"": [""Good A"", ""3""],
""Person 2"": [""Good B"", ""4""],
""Person 3"": [""Good C"", ""2""]
}",You,2,3,3,4,2
7,"{
""You"": [""Good A"", ""3""],
""Person 2"": [""Good C"", ""6""],
""Person 3"": [""Good B"", ""0""]
}",You,3,2,3,6,0
8,"{
""You"": [""Good A"", ""1""],
""Person 2"": [""Good C"", ""4""],
""Person 3"": [""Good B"", ""4""]
}",You,3,2,1,4,4
9,"{
""You"": [""Good A"", ""4""],
""Person 2"": [""Good B"", ""5""],
""Person 3"": [""Good C"", ""0""]
}",You,2,3,4,5,0
10,"{
""You"": [""Good A"", ""4""],
""Person 2"": [""Good B"", ""5""],
""Person 3"": [""Good C"", ""0""]
}",You,2,3,4,5,0
11,"``` JSON
{
""You"": [""Good A"", ""3 units money""],
""Person 2"": [""Good B"", ""6 units money""],
""Person 3"": [""Good C""]
}
```",You,2,3,3 units money,6 units money,0 units money
12,"{
""You"": [""Good A"", 0],
""Person 2"": [""Good C"", 7],
""Person 3"": [""Good B"", 2]
}",You,3,2,0,7,2
13,"{
""You"": [""Good A"", ""3""],
""Person 2"": [""Good B"", ""6""],
""Person 3"": [""Good C"", ""0""]
}",You,2,3,3,6,0
14,"{
""You"": [""Good A"", ""3""],
""Person 2"": [""Good B"", ""6""],
""Person 3"": [""Good C"", ""0""]
}",You,2,3,3,6,0
15,"{
""You"": [""Good A"", ""0""],
""Person 2"": [""Good B"", ""7""],
""Person 3"": [""Good C"", ""2""]
}",You,2,3,0,7,2
16,"{
""You"": [""Good A"", ""2""],
""Person 2"": [""Good B"", ""Good C"", ""4""],
""Person 3"": [""3""]
}",You,2,2,2,4,3
17,"{
""You"": [""Good A"", ""2""],
""Person 2"": [""Good B"", ""4""],
""Person 3"": [""Good C"", ""3""]
}",You,2,3,2,4,3
18,"{
""You"": [""Good A"", 0],
""Person 2"": [""Good B"", 9],
""Person 3"": [""Good C"", 0]
}",You,2,3,0,9,0
19,"{
""You"": [""Good A"", 5],
""Person 2"": [""Good B"", 3],
""Person 3"": [""Good C"", 1]
}",You,2,3,0,3,6
20,"{
""You"": [""Good A"", 4],
""Person 2"": [""Good B"", 5],
""Person 3"": [""Good C"", 0]
}",You,2,None,4,5,0
21,"{
""You"": [""Good A"", 3],
""Person 2"": [""Good B"", ""Good C"", 6],
""Person 3"": [0, 0]
}",You,2,2,3,6,0
22,"{
""You"": [""Good A"", ""3""],
""Person 2"": [""Good B"", ""Good C"", ""6""],
""Person 3"": [""2""]
}",You,2,2,3,6,0
23,"{
""You"": [""Good A"", 4 units],
""Person 2"": [""Good C"", 5 units],
""Person 3"": [""Good B"", 0 units]
}",You,3,2,4 units,5 units,0 units
24,"{
""You"": [""Good A"", 4],
""Person 2"": [""Good B"", 5],
""Person 3"": [""Good C"", 0]
}",You,2,3,4,5,0
25,"{
""You"": [""Good A"", 4],
""Person 2"": [""Good B"", 5],
""Person 3"": [""Good C"", 0]
}",You,2,3,4,5,0
26,"{
""You"": [""Good A"", ""2""],
""Person 2"": [""Good B"", ""7""],
""Person 3"": [""Good C"", ""0""]
}",You,2,3,2,7,0
27,"{
""You"": [""Good A"", 4],
""Person 2"": [""Good B"", 5],
""Person 3"": [""Good C"", 0]
}",You,2,3,4,5,0
