,Text,Good A,Good B,Good C,Good D
0,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 3""
}",3,2,You,3
1,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2""
}",3,2,You,2
2,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 3""
}",You,2,You,3
3,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 3""
}",3,2,You,You
4,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""You""
}",3,2,You,You
5,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 3""
}",3,2,You,3
6,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""None"",
""Good D"": ""Person 3""
}",3,You,2,None
7,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""None"",
""Good D"": ""Person 2""
}",3,2,None,2
8,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2""
}",You,2,3,2
9,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 3""
}",3,2,You,2
10,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2""
}",3,You,2,2
11,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""None"",
""Good D"": ""You""
}",3,2,None,You
12,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",3,2,You,2
13,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",3,2,You,2
14,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""None"",
""Good D"": ""Person 3""
}",You,2,None,3
15,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""Person 2""
}",3,You,2,2
16,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",3,You,2,2
17,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""None""
}",3,2,You,None
18,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""None""
}",You,2,3,None
19,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",3,2,You,2
20,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 3""
}",You,2,You,3
21,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",3,2,You,3
22,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",2,2,You,3
23,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 3""
}",3,2,You,You
24,"{
""Good A"": ""Person 2"",
""Good B"": ""You"",
""Good C"": ""Person 3"",
""Good D"": ""Person 3""
}",3,You,2,2
25,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""You""
}",You,2,You,3
26,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2""
}",You,2,3,2
27,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""None"",
""Good D"": ""Person 3""
}",You,3,None,2
28,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",You,2,3,2
29,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",You,2,3,2
30,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",You,2,3,2
31,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2""
}",3,You,2,2
32,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",3,2,You,2
33,"```JSON
{
""Good A"": ""You"",
""Good B"": ""Person 3"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}
```",3,You,You,2
