,LLM Type,Version,Question,Strategy,Metric,Percentage
0,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_ef.csv,similarity,318.07575757575785
1,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_ef.csv,clarity,15.57
2,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_eq.csv,similarity,402.6505681818184
3,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_eq.csv,clarity,19.24
4,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_5.csv,similarity,213.54166666666725
5,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_5.csv,clarity,22.05
6,gemini,gemini-1.0-pro-latest,1,word_best_person_centric.csv,similarity,1435.9080459770155
7,gemini,gemini-1.0-pro-latest,1,word_best_person_centric.csv,clarity,18.77
8,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_4.csv,similarity,284.45075757575813
9,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_4.csv,clarity,19.21
10,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_True.csv,similarity,153.2689393939395
11,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_True.csv,clarity,23.86
12,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_3.csv,similarity,274.45075757575785
13,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_3.csv,clarity,19.56
14,gemini,gemini-1.0-pro-latest,1,word.csv,similarity,424.6048524033443
15,gemini,gemini-1.0-pro-latest,1,word.csv,clarity,13.1
16,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_2.csv,similarity,297.80303030303105
17,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_2.csv,clarity,20.14
18,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_rmm.csv,similarity,413.2717803030309
19,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_rmm.csv,clarity,15.89
20,gemini,gemini-1.0-pro-latest,1,table.csv,similarity,593.2325953500526
21,gemini,gemini-1.0-pro-latest,1,table.csv,clarity,15.29
22,gemini,gemini-1.0-pro-latest,1,word_best.csv,similarity,153.015771943574
23,gemini,gemini-1.0-pro-latest,1,word_best.csv,clarity,22.08
24,gemini,gemini-1.0-pro-latest,1,word_rank.csv,similarity,783.6356778996891
25,gemini,gemini-1.0-pro-latest,1,word_rank.csv,clarity,16.54
26,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric.csv,similarity,248.18087121212136
27,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric.csv,clarity,22.35
28,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_optional.csv,similarity,233.0984848484851
29,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_optional.csv,clarity,20.71
30,gemini,gemini-1.0-pro-latest,1,pipes.csv,similarity,150.79440961337542
31,gemini,gemini-1.0-pro-latest,1,pipes.csv,clarity,20.93
32,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_mandatory.csv,similarity,198.2689393939395
33,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_mandatory.csv,clarity,22.93
