,Text,Tokens,Good A,Good B,Good C,Good D
0,"{
""Good A"": ""Person 2"",
""Good B"": ""You"",
""Good C"": ""Person 3"",
""Good D"": ""You""
}",0,3,You,None,2
1,"```json
{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""None"",
""Good D"": ""You""
}
```",0,3,2,You,None
2,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""You""
}",0,You,2,None,3
3,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",0,You,2,3,None
4,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""None"",
""Good D"": ""You""
}",0,You,2,3,You
5,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",0,3,2,You,2
6,"```json
{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 3""
}
```",0,3,2,You,3
7,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""You""
}",0,3,2,You,You
8,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""Person 2""
}",0,3,You,2,2
9,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""None"",
""Good D"": ""You""
}",0,You,2,3,You
10,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",0,3,2,You,2
11,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",0,You,2,3,2
12,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""You""
}",0,3,2,You,You
13,"```json
{
  ""Good A"": ""Person 3"",
  ""Good B"": ""Person 2"",
  ""Good C"": ""None"",
  ""Good D"": ""You""
}
```",0,You,2,3,None
14,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2""
""Good D"": ""Discarded""
}",0,3,You,2,Discarded
15,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""You""
}",0,3,2,You,You
16,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""Person 2""
}",0,3,You,2,2
17,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""None""
}",0,3,You,2,None
18,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""None"",
""Good D"": ""Person 2""
}",0,3,You,None,2
19,"``` JSON
{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 3""
}
```",0,You,2,You,3
20,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""None""
}",0,3,2,You,None
21,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""Person 2""
}",0,You,2,3,2
22,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""Person 2""
}",0,You,2,None,3
23,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",0,2,You,3,3
24,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",0,3,2,You,You
25,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",0,You,2,3,2
26,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""You""
}",0,3,2,You,You
27,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",0,You,2,3,2
28,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2""
}",0,You,2,None,2
29,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""You""
}",0,You,2,3,You
30,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""You""
}",0,3,You,2,You
31,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""You""
}",0,You,2,3,You
32,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""None"",
""Good D"": ""You""
}",0,You,2,3,3
