,Text,Tokens,Good A,Good B,Good C,You money,Person 2 money,Person 3 money
0,"{
""You"": ""[Good A, 2]"",
""Person 2"": ""[Good B, 3]"",
""Person 3"": ""[Good C, 4]"",
}",1079,3,2,You,2,3,4
1,"{
""You"": ""[Good A, 2]"",
""Person 2"": ""[Good B, 3]"",
""Person 3"": ""[Good C, 4]""
}",1079,3,2,You,5,3,1
2,"{
  ""You"": ""[Good A, Good C, 4 units of money]"",
  ""Person 2"": ""[Good B, 5 units of money]"",
  ""Person 3"": ""[Good C, 5 units of money]""
}",1109,2,None,You,4,5,5
3,"{
""You"": ""[Good A, 6]"",
""Person 2"": ""[Good B, 3]"",
""Person 3"": ""[Good C, 9]""
}",1079,3,2,You,3,6,0
4,"{
  ""You"": ""[(Good A), 1]"",
  ""Person 2"": ""[(Good B), 4]"",
  ""Person 3"": ""[(Good C), 4]""
}",1093,3,2,You,4,5,0
5,"{
""You"": ""[Good A, 3]"",
""Person 2"": ""[Good C, 2]"",
""Person 3"": ""[Good B, 4]"",
}",1079,2,3,You,3,2,4
6,"{
""You"": ""[Good A, 5]"",
""Person 2"": ""[Good B, 4]"",
""Person 3"": ""[Good C, 9]""
}",1079,3,2,You,5,4,0
7,"{
  ""You"": ""[(Good A), 3]"",
  ""Person 2"": ""[(Good B, Good C), 3]"",
  ""Person 3"": ""[(), 3]""
}",1093,You,2,2,3,6,0
8,"{
  ""You"": ""[Good A, 3]"",
  ""Person 2"": ""[Good B, 6]"",
  ""Person 3"": ""[Good C, 0]""
}",1087,You,2,3,3,6,0
9,"{
""You"": ""[Good A, Good C, 2 units of money]"",
""Person 2"": ""[Good B, 3 units of money]"",
""Person 3"": ""[Good C, 4 units of money]""
}",1101,3,None,You,2,3,4
10,"{
  ""You"": ""[Good A], 3"",
  ""Person 2"": ""[Good B], 4.5"",
  ""Person 3"": ""[Good C], 1.5""
}",1099,You,2,3,3,4.5,1.5
11,"{
  ""You"": ""[Good A, 5]"",
  ""Person 2"": ""[Good B, 4]"",
  ""Person 3"": ""[Good C, 0]""
}",1087,3,2,You,5,4,0
12,"{
  ""You"": ""[(Good A), 3]"",
  ""Person 2"": ""[(Good B), 3]"",
  ""Person 3"": ""[(Good C), 3]""
}",1100,3,2,You,3,3,3
