,Text,Tokens,Good A,Good B,Good C,Person 1 money,Person 2 money,Person 3 money
0,"```python
import pulp

# Define the problem
problem = pulp.LpProblem(""Fair_Allocation"", pulp.LpMaximize)

# Define the decision variables
# x[i][j] = 1 if Good i is allocated to Person j, 0 otherwise
x = [[pulp.LpVariable(f""x_{i}_{j}"", cat=""Binary"") for j in range(1, 4)] for i in range(1, 4)]

# y[j] represents the amount of money allocated to Person j
y = [pulp.LpVariable(f""y_{j}"", lowBound=0, upBound=5) for j in range(1, 4)]

# Define the objective function: Maximize total welfare
problem += (
    45 * x[0][0] + 30 * x[1][0] + 25 * x[2][0] + y[0]  # Person 1
    + 35 * x[0][1] + 40 * x[1][1] + 25 * x[2][1] + y[1]  # Person 2
    + 50 * x[0][2] + 5 * x[1][2] + 45 * x[2][2] + y[2]  # Person 3
)

# Constraints:
# Each good can be allocated to at most one person
for i in range(3):
    problem += pulp.lpSum(x[i][j] for j in range(3)) <= 1

# Total money allocated cannot exceed 5 units
problem += pulp.lpSum(y[j] for j in range(3)) <= 5

# Solve the problem
problem.solve()

# Print the allocation
print(""Allocation:"")
for i, good in enumerate([""Good A"", ""Good B"", ""Good C""]):
    for j, person in enumerate([""Person 1"", ""Person 2"", ""Person 3""]):
        if x[i][j].varValue == 1:
            print(f""{good} allocated to {person}"")

for j, person in enumerate([""Person 1"", ""Person 2"", ""Person 3""]):
    if y[j].varValue > 0:
        print(f""{y[j].varValue} units of money allocated to {person}"")
```
",0,3,2,1,0,0,0
1,"```python
import pulp

# Define the goods and individuals
goods = ['A', 'B', 'C']
individuals = ['Person 1', 'Person 2', 'Person 3']

# Define the values each individual has for each good
values = {
    'Person 1': {'A': 45, 'B': 30, 'C': 25},
    'Person 2': {'A': 35, 'B': 40, 'C': 25},
    'Person 3': {'A': 50, 'B': 5,  'C': 45}
}

# Create the linear programming problem
problem = pulp.LpProblem(""Fair Allocation"", pulp.LpMaximize)

# Define the decision variables
allocations = pulp.LpVariables.dicts(""Allocation"", (goods, individuals), cat='Binary')
money_allocations = pulp.LpVariables.dicts(""Money Allocation"", individuals, lowBound=0, upBound=5)

# Define the objective function: Maximize total value
problem += pulp.lpSum(values[i][g] * allocations[g][i] for g in goods for i in individuals) + pulp.lpSum(money_allocations[i] for i in individuals)

# Constraints
# Each good can only be allocated to one person or no one
for g in goods:
    problem += pulp.lpSum(allocations[g][i] for i in individuals) <= 1

# Total money allocated cannot exceed 5
problem += pulp.lpSum(money_allocations[i] for i in individuals) <= 5

# Solve the problem
problem.solve()

# Print the allocation results
print(""Fair Allocation:"")
for g in goods:
    for i in individuals:
        if allocations[g][i].varValue == 1:
            print(f""{i} gets {g}"")
for i in individuals:
    if money_allocations[i].varValue > 0:
        print(f""{i} gets {money_allocations[i].varValue} units of money"")
```
",0,3,2,1,5.0,0.0,0.0
2,"```python
import pulp

# Define the goods and individuals
goods = ['A', 'B', 'C']
individuals = ['Person 1', 'Person 2', 'Person 3']

# Define the values each individual has for each good
values = {
    ('Person 1', 'A'): 45,
    ('Person 1', 'B'): 30,
    ('Person 1', 'C'): 25,
    ('Person 2', 'A'): 35,
    ('Person 2', 'B'): 40,
    ('Person 2', 'C'): 25,
    ('Person 3', 'A'): 50,
    ('Person 3', 'B'): 5,
    ('Person 3', 'C'): 45,
}

# Create the optimization problem
problem = pulp.LpProblem(""Fair Allocation"", pulp.LpMaximize)

# Define the decision variables: whether to allocate each good to each person
allocations = pulp.LpVariable.dicts(""Allocation"", (individuals, goods), 0, 1, pulp.LpInteger)

# Define the decision variables: how much money to give to each person
money = pulp.LpVariable.dicts(""Money"", individuals, 0, 5)

# Objective function: maximize the total value of the allocation
problem += pulp.lpSum([allocations[i][g] * values[i, g] for i in individuals for g in goods]) + pulp.lpSum([money[i] for i in individuals])

# Constraints:
# - Each good can be allocated to at most one person
for g in goods:
    problem += pulp.lpSum([allocations[i][g] for i in individuals]) <= 1

# - The total amount of money allocated cannot exceed 5
problem += pulp.lpSum([money[i] for i in individuals]) <= 5

# Solve the problem
problem.solve()

# Print the optimal allocation
print(""Optimal Allocation:"")
for i in individuals:
    for g in goods:
        if allocations[i][g].varValue == 1:
            print(f""{i} gets {g}"")
    print(f""{i} gets {money[i].varValue} units of money"")
```
",0,3,2,1,2.5,0,2.5
3,"```python
import itertools

# Define the individuals and their valuations
persons = {
    ""Person 1"": {""Good A"": 45, ""Good B"": 30, ""Good C"": 25},
    ""Person 2"": {""Good A"": 35, ""Good B"": 40, ""Good C"": 25},
    ""Person 3"": {""Good A"": 50, ""Good B"": 5, ""Good C"": 45},
}

goods = [""Good A"", ""Good B"", ""Good C""]

# Generate all possible allocations
allocations = list(itertools.product(persons.keys(), repeat=len(goods)))

# Calculate the total value for each allocation
values = {}
for allocation in allocations:
    total_value = 0
    for i, good in enumerate(goods):
        person = allocation[i]
        if person:  # Check if the good is allocated
            total_value += persons[person][good]
    values[allocation] = total_value

# Find the allocation with the maximum total value
best_allocation = max(values, key=values.get)

# Allocate the money proportionally to the valuations of the remaining goods
money_allocation = {}
remaining_value = 5  # Total money available
for person in persons:
    total_valuation = sum(persons[person].values())
    money_allocation[person] = 0
    for i, good in enumerate(goods):
        if best_allocation[i] != person:
            money_allocation[person] += persons[person][good] / total_valuation * remaining_value

# Print the allocation
print(""Allocation of Goods:"")
for i, good in enumerate(goods):
    print(f""{good}: {best_allocation[i]}"")

print(""\nAllocation of Money:"")
for person, amount in money_allocation.items():
    print(f""{person}: {amount:.2f}"")
```
",0,3,2,1,1.67,0.83,2.50
4,"```python
import pulp

# Data
persons = ['Person 1', 'Person 2', 'Person 3']
goods = ['Good A', 'Good B', 'Good C']
values = {
    ('Person 1', 'Good A'): 45,
    ('Person 1', 'Good B'): 30,
    ('Person 1', 'Good C'): 25,
    ('Person 2', 'Good A'): 35,
    ('Person 2', 'Good B'): 40,
    ('Person 2', 'Good C'): 25,
    ('Person 3', 'Good A'): 50,
    ('Person 3', 'Good B'): 5,
    ('Person 3', 'Good C'): 45
}
money = 5

# Create the model
model = pulp.LpProblem(""Fair_Allocation"", pulp.LpMaximize)

# Variables
allocation = pulp.LpVariable.dicts(""Allocation"", (persons, goods), cat='Binary')
money_allocation = pulp.LpVariable.dicts(""Money_Allocation"", persons, lowBound=0, upBound=money)

# Objective function: Maximize total value
model += pulp.lpSum(values[p, g] * allocation[p][g] for p in persons for g in goods) + pulp.lpSum(money_allocation[p] for p in persons)

# Constraints
for g in goods:
    model += pulp.lpSum(allocation[p][g] for p in persons) <= 1

for p in persons:
    model += pulp.lpSum(values[p, g] * allocation[p][g] for g in goods) + money_allocation[p] <= max(values[p, g] for g in goods) + money

model += pulp.lpSum(money_allocation[p] for p in persons) <= money

# Solve the problem
model.solve()

# Print the allocation
print(""Allocation:"")
for p in persons:
    for g in goods:
        if allocation[p][g].varValue == 1:
            print(f""{p} gets {g}"")
    print(f""{p} gets {money_allocation[p].varValue} units of money"")
```
",0,3,2,1,5.0,0.0,0.0
5,"```python
values = {
    ""Person 1"": {""Good A"": 45, ""Good B"": 30, ""Good C"": 25},
    ""Person 2"": {""Good A"": 35, ""Good B"": 40, ""Good C"": 25},
    ""Person 3"": {""Good A"": 50, ""Good B"": 5, ""Good C"": 45},
}

budget = 5

allocation = {
    ""Person 1"": {""Good A"": False, ""Good B"": True, ""Good C"": False, ""Money"": 1.25},
    ""Person 2"": {""Good A"": False, ""Good B"": False, ""Good C"": True, ""Money"": 1.25},
    ""Person 3"": {""Good A"": True, ""Good B"": False, ""Good C"": False, ""Money"": 2.5},
}
```
",0,3,1,2,1.25,1.25,2.5
6,"```python
import pulp

# Define the problem
problem = pulp.LpProblem(""Fair_Allocation"", pulp.LpMaximize)

# Define the individuals
individuals = [""Person 1"", ""Person 2"", ""Person 3""]

# Define the goods
goods = [""Good A"", ""Good B"", ""Good C""]

# Define the values
values = {
    (""Person 1"", ""Good A""): 45,
    (""Person 1"", ""Good B""): 30,
    (""Person 1"", ""Good C""): 25,
    (""Person 2"", ""Good A""): 35,
    (""Person 2"", ""Good B""): 40,
    (""Person 2"", ""Good C""): 25,
    (""Person 3"", ""Good A""): 50,
    (""Person 3"", ""Good B""): 5,
    (""Person 3"", ""Good C""): 45
}

# Define the decision variables
allocations = pulp.LpVariable.dicts(""Allocation"", (individuals, goods), cat='Binary')
money_allocations = pulp.LpVariable.dicts(""Money_Allocation"", individuals, lowBound=0, upBound=5)

# Define the objective function: Maximize total value
problem += pulp.lpSum(values[i, g] * allocations[i][g] for i in individuals for g in goods) + pulp.lpSum(money_allocations[i] for i in individuals)

# Define the constraints
# Each good can be allocated to at most one person
for g in goods:
    problem += pulp.lpSum(allocations[i][g] for i in individuals) <= 1

# Total money allocated cannot exceed 5
problem += pulp.lpSum(money_allocations[i] for i in individuals) <= 5

# Solve the problem
problem.solve()

# Print the allocation
print(""Allocation:"")
for i in individuals:
    for g in goods:
        if allocations[i][g].varValue == 1:
            print(f""{i} gets {g}"")
    print(f""{i} gets {money_allocations[i].varValue} units of money"")
```
",0,3,2,1,0,0,5
7,"```python
import pulp

# Define the problem
problem = pulp.LpProblem(""Fair_Allocation"", pulp.LpMaximize)

# Define the decision variables
# x_ij = 1 if Good i is allocated to Person j, 0 otherwise
x_11 = pulp.LpVariable(""x_11"", cat='Binary')
x_12 = pulp.LpVariable(""x_12"", cat='Binary')
x_13 = pulp.LpVariable(""x_13"", cat='Binary')
x_21 = pulp.LpVariable(""x_21"", cat='Binary')
x_22 = pulp.LpVariable(""x_22"", cat='Binary')
x_23 = pulp.LpVariable(""x_23"", cat='Binary')
x_31 = pulp.LpVariable(""x_31"", cat='Binary')
x_32 = pulp.LpVariable(""x_32"", cat='Binary')
x_33 = pulp.LpVariable(""x_33"", cat='Binary')

# Money allocation variables
m1 = pulp.LpVariable(""m1"", lowBound=0, upBound=5)
m2 = pulp.LpVariable(""m2"", lowBound=0, upBound=5)
m3 = pulp.LpVariable(""m3"", lowBound=0, upBound=5)

# Define the objective function: Maximize total social welfare
problem += 45*x_11 + 30*x_21 + 25*x_31 + 35*x_12 + 40*x_22 + 25*x_32 + 50*x_13 + 5*x_23 + 45*x_33 + m1 + m2 + m3

# Constraints
# Each good can be allocated to at most one person
problem += x_11 + x_12 + x_13 <= 1
problem += x_21 + x_22 + x_23 <= 1
problem += x_31 + x_32 + x_33 <= 1

# Total money allocated cannot exceed 5
problem += m1 + m2 + m3 <= 5

# Solve the problem
problem.solve()

# Print the solution
print(""Allocation:"")
print(f""Person 1: Good A: {x_11.varValue}, Good B: {x_21.varValue}, Good C: {x_31.varValue}, Money: {m1.varValue}"")
print(f""Person 2: Good A: {x_12.varValue}, Good B: {x_22.varValue}, Good C: {x_32.varValue}, Money: {m2.varValue}"")
print(f""Person 3: Good A: {x_13.varValue}, Good B: {x_23.varValue}, Good C: {x_33.varValue}, Money: {m3.varValue}"")
``` 
",0,3,2,1,2.0,0.0,3.0
8,"```python
import gurobipy as gp
from gurobipy import GRB

# Data
persons = ['Person 1', 'Person 2', 'Person 3']
goods = ['Good A', 'Good B', 'Good C']
values = {
    ('Person 1', 'Good A'): 45,
    ('Person 1', 'Good B'): 30,
    ('Person 1', 'Good C'): 25,
    ('Person 2', 'Good A'): 35,
    ('Person 2', 'Good B'): 40,
    ('Person 2', 'Good C'): 25,
    ('Person 3', 'Good A'): 50,
    ('Person 3', 'Good B'): 5,
    ('Person 3', 'Good C'): 45
}

# Create a model
model = gp.Model(""Fair Allocation"")

# Variables
allocation = model.addVars(persons, goods, vtype=GRB.BINARY, name=""allocation"")
money = model.addVars(persons, vtype=GRB.CONTINUOUS, name=""money"")

# Constraints
model.addConstrs((allocation.sum('*', g) <= 1 for g in goods), ""One_allocation_per_good"")
model.addConstr(money.sum() <= 5, ""Total_money"")

# Objective function: Maximize total welfare
objective = gp.quicksum(values[p, g] * allocation[p, g] for p in persons for g in goods) + gp.quicksum(money)
model.setObjective(objective, GRB.MAXIMIZE)

# Solve the model
model.optimize()

# Print the solution
print(""Allocation:"")
for p in persons:
    for g in goods:
        if allocation[p, g].X > 0.5:
            print(f""{p} gets {g}"")
print(""Money:"")
for p in persons:
    if money[p].X > 0:
        print(f""{p} gets {money[p].X:.2f} units of money"")
```
",0,3,2,1,2.00,0,3.00
9,"```python
import pulp

# Define the problem
problem = pulp.LpProblem(""Fair_Allocation"", pulp.LpMaximize)

# Define the goods
goods = ['A', 'B', 'C']

# Define the people
people = ['Person 1', 'Person 2', 'Person 3']

# Values for goods
values = {
    ('Person 1', 'A'): 45,
    ('Person 1', 'B'): 30,
    ('Person 1', 'C'): 25,
    ('Person 2', 'A'): 35,
    ('Person 2', 'B'): 40,
    ('Person 2', 'C'): 25,
    ('Person 3', 'A'): 50,
    ('Person 3', 'B'): 5,
    ('Person 3', 'C'): 45
}

# Decision variables: whether to allocate good i to person j
allocation = pulp.LpVariable.dicts(""allocation"", ((i, j) for i in goods for j in people), cat='Binary')

# Money allocation
money = pulp.LpVariable.dicts(""money"", people, lowBound=0, upBound=5)

# Objective function: maximize total value
problem += pulp.lpSum(values[(j, i)] * allocation[(i, j)] for i in goods for j in people) + pulp.lpSum(money[j] for j in people)

# Constraints:
# Each good can be allocated to at most one person
for i in goods:
    problem += pulp.lpSum(allocation[(i, j)] for j in people) <= 1

# Total money allocated cannot exceed 5
problem += pulp.lpSum(money[j] for j in people) <= 5

# Solve the problem
problem.solve()

# Print the allocation
print(""Allocation:"")
for i in goods:
    for j in people:
        if allocation[(i, j)].varValue == 1:
            print(f""{j} gets {i}"")

print(""Money Allocation:"")
for j in people:
    print(f""{j} gets {money[j].varValue} units of money"")
```
",0,3,2,1,0,0,0
