,Text,Tokens,Good A,Good B,Good C,You money,Person 2 money,Person 3 money
0,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 6,
""Person 3 money"": 3
}",0,You,2,3,0,6,3
1,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 9,
""Person 2 money"": 0,
""Person 3 money"": 0
}",0,You,2,3,9,0,0
2,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 6,
""Person 3 money"": 3
}",0,You,2,3,0,6,3
3,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 3,
""Person 2 money"": 4,
""Person 3 money"": 2
}",0,You,2,3,3,4,2
4,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 3,
""Person 2 money"": 6,
""Person 3 money"": 0
}",0,You,2,3,3,6,0
5,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 0,
""Person 3 money"": 9
}",0,You,2,3,0,0,9
6,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 6,
""Person 3 money"": 3
}",0,You,2,3,0,6,3
7,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 2,
""Person 2 money"": 5,
""Person 3 money"": 2
}",0,You,2,3,2,5,2
8,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 6,
""Person 2 money"": 1,
""Person 3 money"": 2
}",0,You,2,3,6,1,2
9,"```JSON
{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 9,
""Person 3 money"": 0
}
```",0,You,2,3,0,9,0
10,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 4,
""Person 2 money"": 3,
""Person 3 money"": 2
}",0,You,2,3,4,3,2
11,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 4,
""Person 2 money"": 3,
""Person 3 money"": 2
}",0,You,2,3,4,3,2
12,"```JSON
{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 4,
""Person 3 money"": 5
}
```",0,You,2,3,0,4,5
13,"```JSON
{
  ""Good A"": ""You"",
  ""Good B"": ""Person 2"",
  ""Good C"": ""Person 3"",
  ""You money"": 0,
  ""Person 2 money"": 9,
  ""Person 3 money"": 0
}
```",0,You,2,3,0,9,0
14,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 6,
""Person 3 money"": 3
}",0,3,You,2,3,3,3
15,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 9,
""Person 3 money"": 0
}",0,You,2,3,0,6,3
16,"{
""Good A"": ""You"",
""Good B"": ""Person 3"",
""Good C"": ""Person 2"",
""You money"": 4,
""Person 2 money"": 3,
""Person 3 money"": 2
}",0,2,You,3,3,4,2
17,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": ""1"",
""Person 2 money"": ""4"",
""Person 3 money"": ""4""
}",0,You,2,3,1,4,4
18,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 9,
""Person 2 money"": 0,
""Person 3 money"": 0
}",0,You,2,3,9,0,0
19,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 5,
""Person 2 money"": 2,
""Person 3 money"": 2
}",0,You,2,3,5,2,2
20,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 6,
""Person 3 money"": 3
}",0,You,2,3,0,6,3
21,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 3,
""Person 2 money"": 6,
""Person 3 money"": 0
}",0,You,2,3,3,6,0
22,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 5,
""Person 3 money"": 4
}",0,You,2,3,0,5,4
23,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 7,
""Person 2 money"": 1,
""Person 3 money"": 1
}",0,3,You,2,3,3,3
24,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""You money"": 1,
""Person 2 money"": 4,
""Person 3 money"": 4
}",0,You,2,3,3,3,3
25,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 3,
""Person 2 money"": 3,
""Person 3 money"": 3
}",0,You,2,3,3,3,3
26,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 9,
""Person 3 money"": 0
}",0,You,2,3,0,9,0
27,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 2,
""Person 2 money"": 7,
""Person 3 money"": 0
}",0,You,2,3,2,7,0
28,"{
""Good A"": ""You"",
""Good B"": ""Person 3"",
""Good C"": ""Person 2"",
""You money"": 3.5,
""Person 2 money"": 3,
""Person 3 money"": 2.5
}",0,You,3,2,3,3,3
29,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 9,
""Person 3 money"": 0
}",0,You,2,3,0,9,0
30,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 6,
""Person 3 money"": 3
}",0,You,2,3,0,6,3
31,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 9,
""Person 3 money"": 0
}",0,You,2,3,0,9,0
32,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 9,
""Person 3 money"": 0
}",0,2,You,3,6,0,3
33,"{
""Good A"": ""You"",
""Good B"": ""Person 3"",
""Good C"": ""Person 2"",
""You money"": 9,
""Person 2 money"": 0,
""Person 3 money"": 0
}",0,You,2,3,6,2,1
34,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 2,
""Person 2 money"": 4,
""Person 3 money"": 3
}",0,You,2,3,3,3,3
35,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 2,
""Person 2 money"": 5,
""Person 3 money"": 2
}",0,You,2,3,2,5,2
36,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 3,
""Person 2 money"": 6,
""Person 3 money"": 0
}",0,You,2,3,3,6,0
37,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 5,
""Person 2 money"": 3,
""Person 3 money"": 1
}",0,You,2,3,5,3,1
38,"```json
{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 2,
""Person 2 money"": 3,
""Person 3 money"": 4
}
```",0,You,2,3,2,3,4
39,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 9,
""Person 3 money"": 0
}",0,You,2,3,3,3,3
40,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 6,
""Person 3 money"": 3
}",0,You,2,3,0,6,3
41,"{
""Good A"": ""You"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""You money"": 0,
""Person 2 money"": 3,
""Person 3 money"": 6
}",0,You,2,3,0,3,6
