,Text,Tokens,Good A,Good B,Good C,Good D
0,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A]"",
""Person 3"": ""[Good B, Good D]""
}",875,2,None,1,3
1,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good D]"",
""Person 3"": ""[Good B]""
}",875,2,3,1,None
2,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A]"",
""Person 3"": ""[Good B, Good D]""
}",875,2,None,1,3
3,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[Good D]""
}",877,2,2,1,3
4,"{
""Person 1"": ""[Good C]"",
""Person 2 "": ""[Good A, Good B]"",
""Person 3"": ""[]""
}",873,2,2,1,None
5,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[Good D]""
}",875,2,None,1,3
6,"{
""Person 1"": ""[Good B]"",
""Person 2"": ""[Good A, Good C]"",
""Person 3"": ""[Good D]""
}",877,2,1,2,3
7,"{
""Person 1"": ""[Good C, Good B]"",
""Person 2"": ""[Good A, Good D]"",
""Person 3"": ""[Good A, Good B]""
}",887,2,1,3,None
8,"{
""Person 1"": ""[Good A, Good C]"",
""Person 2"": ""[Good B]"",
""Person 3"": ""[Good D]""
}",875,2,None,1,3
9,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good D]"",
""Person 3"": ""[Good B]"",
}",875,2,3,1,None
10,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[]""
}",873,2,2,1,None
11,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[Good D]"",
}",875,3,None,2,1
12,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A]"",
""Person 3"": ""[Good B, Good D]""
}",875,2,None,3,3
13,"{
""Person 1"": ""[Good B, Good C]"",
""Person 2"": ""[Good A]"",
""Person 3"": ""[Good A, Good C]""
}",879,2,None,1,None
14,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[]""
}",873,2,2,1,None
15,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A]"",
""Person 3"": ""[Good B, Good D]""
}",877,2,3,1,3
16,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[Good A, Good C]""
}",879,2,None,None,1
17,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good D]"",
""Person 3"": ""[Good B]""
}",875,2,3,1,None
18,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A, Good B]"",
""Person 3"": ""[Good A, Good C]""
}",881,2,1,3,None
19,"{
""Person 1"": ""[Good A, Good C]"",
""Person 2"": ""[Good B, Good D]"",
""Person 3"": ""[Good B, Good C]""
}",887,2,3,1,None
20,"{
  ""Person 1"": ""[Good C]"",
  ""Person 2"": ""[Good A]"",
  ""Person 3"": ""[Good B, Good D]""
}",881,2,None,1,3
21,"{
""Person 1"": ""[Good C]"",
""Person 2"": ""[Good A]"",
""Person 3"": ""[Good B, Good D]""
}",877,2,3,1,3
22,"{
""Person 1"": ""[Good A, Good C]"",
""Person 2"": ""[Good B]"",
""Person 3"": ""[Good D]""
}",875,2,None,1,3
