,Text,Tokens,Good A,Good B,Good C,Good D,Person 1 money,Person 2 money,Person 3 money
0,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Person 1 money"": 3,
""Person 2 money"": 4,
""Person 3 money"": 0
}",0,3,2,1,1,1,6,0
1,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Person 1 money"": 4,
""Person 2 money"": 2,
""Person 3 money"": 1
}",0,3,2,1,1,3,2,2
2,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Person 1 money"": 2,
""Person 2 money"": 5,
""Person 3 money"": 0
}",0,3,2,3,1,2,5,0
3,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Person 1 money"": 3,
""Person 2 money"": 0,
""Person 3 money"": 4
}",0,3,2,1,3,3,0,4
4,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Person 1 money"": ""3"",
""Person 2 money"": ""0"",
""Person 3 money"": ""4""
}",0,3,1,2,1,2,3,2
5,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Person 1 money"": 3,
""Person 2 money"": 0,
""Person 3 money"": 4
}",0,3,1,2,1,4,3,0
6,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1"",
""Good D"": ""Person 1"",
""Person 1 money"": 2,
""Person 2 money"": 5,
""Person 3 money"": 0
}",0,3,2,1,1,2,5,0
7,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1"",
""Good D"": ""Person 1"",
""Person 1 money"": 1,
""Person 2 money"": 3,
""Person 3 money"": 3
}",0,1,2,3,1,3,2,2
8,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1"",
""Good D"": ""Person 1"",
""Person 1 money"": 2,
""Person 2 money"": 5,
""Person 3 money"": 0
}",0,3,2,1,1,2,5,0
9,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1"",
""Good D"": ""Person 1"",
""Person 1 money"": 2,
""Person 2 money"": 0,
""Person 3 money"": 5
}",0,1,2,3,1,5,2,0
10,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Person 1 money"": 3,
""Person 2 money"": 2,
""Person 3 money"": 2
}",0,3,2,1,3,3,2,2
11,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Person 1 money"": 1,
""Person 2 money"": 2,
""Person 3 money"": 4
}",0,3,2,1,1,3,2,2
12,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1"",
""Good D"": ""Person 1"",
""Person 1 money"": 2,
""Person 2 money"": 5,
""Person 3 money"": 0
}",0,1,2,3,1,3,2,2
13,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1"",
""Good D"": ""Person 1"",
""Person 1 money"": 0,
""Person 2 money"": 4,
""Person 3 money"": 3
}",0,3,2,1,1,0,4,3
14,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1"",
""Good D"": ""Person 1"",
""Person 1 money"": 3,
""Person 2 money"": 1,
""Person 3 money"": 3
}",0,3,2,1,1,3,1,3
15,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Person 1 money"": 0,
""Person 2 money"": 3,
""Person 3 money"": 4
}",0,1,2,3,1,2,3,2
16,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Person 1 money"": ""2"",
""Person 2 money"": ""3"",
""Person 3 money"": ""2""
}",0,3,2,1,1,3,2,2
