,Text,Tokens,Good A,Good B,Good C,Good D,Good E,Good F
0,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",0,1,2,1,3,3,2
1,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",0,2,1,1,3,3,2
2,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",0,2,1,1,3,3,2
3,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",0,2,1,1,3,3,2
4,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",0,3,1,1,2,3,2
5,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",0,2,1,1,3,3,2
6,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 1"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",0,2,1,1,3,3,2
7,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",0,2,1,1,3,3,2
8,"```json
{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}
```",0,None,1,1,2,2,3
9,"```json
{
  ""Good A"": ""Person 2"",
  ""Good B"": ""Person 1"",
  ""Good C"": ""Person 1"",
  ""Good D"": ""Person 3"",
  ""Good E"": ""Person 3"",
  ""Good F"": ""Person 2""
}
```",0,2,1,1,3,3,2
10,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",0,2,1,3,1,3,2
11,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",0,2,1,1,3,3,2
12,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",0,2,1,3,2,3,2
13,"```JSON
{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}
```",0,2,1,1,3,3,2
14,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 1"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",0,1,1,1,3,3,2
15,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",0,2,1,1,3,3,2
16,"```json
{
  ""Good A"": ""Person 2"",
  ""Good B"": ""Person 1"",
  ""Good C"": ""Person 1"",
  ""Good D"": ""Person 3"",
  ""Good E"": ""Person 3"",
  ""Good F"": ""Person 2""
}
```",0,2,1,1,3,3,2
17,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 1"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",0,2,1,1,3,3,2
