,Text,Tokens,Good A,Good B,Good C,Good D,Person 1 money,Person 2 money,Person 3 money
0,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1"",
""Good D"": ""None"",
""Person 1 money"": ""3"",
""Person 2 money"": ""2"",
""Person 3 money"": ""2""
}",1398,3,2,1,None,3,2,2
1,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1"",
""Good D"": ""None"",
""Person 1 money"": ""3"",
""Person 2 money"": ""4"",
""Person 3 money"": ""0""
}",1398,3,2,1,None,3,4,0
2,"{
  ""Good A"": ""Person 3"",
  ""Good B"": ""Person 2"",
  ""Good C"": ""Person 1"",
  ""Good D"": ""None"",
  ""Person 1 money"": ""5"",
  ""Person 2 money"": ""2"",
  ""Person 3 money"": ""0""
}",1419,3,None,2,1,0,7,0
3,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1"",
""Good D"": ""None"",
""Person 1 money"": ""2"",
""Person 2 money"": ""5"",
""Person 3 money"": ""0""
}",1398,3,None,1,2,5,2,0
4,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Person 1 money"": ""2"",
""Person 2 money"": ""5"",
""Person 3 money"": ""0""
}",1402,3,None,3,1,1,0,6
5,"{
  ""Good A"": ""Person 3"",
  ""Good B"": ""Person 2"",
  ""Good C"": ""None"",
  ""Good D"": ""Person 1"",
  ""Person 1 money"": 0,
  ""Person 2 money"": 4,
  ""Person 3 money"": 3
}",1419,3,2,None,1,0,4,3
6,"{
""Good A"": ""Person 3"",
""Good B"": ""None"",
""Good C"": ""Person 2"",
""Good D"": ""Person 1"",
""Person 1 money"": ""2"",
""Person 2 money"": ""5"",
""Person 3 money"": ""0""
}",1398,1,None,3,2,2,3,2
7,"{
  ""Good A"": ""Person 3"",
  ""Good B"": ""Person 2"",
  ""Good C"": ""Person 1"",
  ""Good D"": ""None"",
  ""Person 1 money"": ""2"",
  ""Person 2 money"": ""5"",
  ""Person 3 money"": ""0""
}",1412,3,2,1,None,2,5,0
8,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1"",
""Good D"": ""None"",
""Person 1 money"": ""3"",
""Person 2 money"": ""4"",
""Person 3 money"": ""0""
}",1398,1,2,3,None,0,0,7
9,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""None"",
""Good D"": ""Person 1"",
""Person 1 money"": ""2"",
""Person 2 money"": ""2"",
""Person 3 money"": ""3""
}",1398,1,2,3,None,5,2,0
10,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1"",
""Good D"": ""None"",
""Person 1 money"": ""3"",
""Person 2 money"": ""4"",
""Person 3 money"": ""0""
}",1398,3,2,1,None,3,4,0
