,Text,Tokens,Good A,Good B,Good C,Good D,Good E
0,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",0,1,2,3,2,3
1,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 3"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Good E"": ""Person 2""
}",0,1,2,3,3,2
2,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 3"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Good E"": ""Person 3""
}",0,1,3,2,1,3
3,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",0,1,2,3,2,3
4,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 2"",
""Good D"": ""Person 1"",
""Good E"": ""Person 2""
}",0,3,2,2,1,2
5,"{
  ""Good A"": ""Person 1"",
  ""Good B"": ""Person 3"",
  ""Good C"": ""Person 3"",
  ""Good D"": ""Person 1"",
  ""Good E"": ""Person 2""
}",0,1,2,3,1,3
6,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 3"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 2""
}",0,1,3,2,2,3
7,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Good E"": ""Person 2""
}",0,3,2,1,2,2
8,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 3"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Good E"": ""Person 3""
}",0,1,3,3,1,3
9,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 3"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",0,1,2,3,2,3
10,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Good E"": ""Person 2""
}",0,1,2,3,1,3
11,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",0,1,2,3,2,3
12,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 2"",
""Good D"": ""Person 2"",
""Good E"": ""Person 2""
}",0,1,3,3,3,2
13,"``` JSON
{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}
```",0,1,3,3,1,2
14,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 2""
}",0,1,2,3,2,2
15,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",0,1,2,3,2,3
16,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 3"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Good E"": ""Person 2""
}",0,1,3,3,2,2
17,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",0,1,3,3,2,2
18,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 3"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Good E"": ""Person 2""
}",0,1,2,3,2,2
19,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""Person 2"",
""Good D"": ""Person 1"",
""Good E"": ""Person 2""
}",0,1,3,2,2,2
20,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 3"",
""Good C"": ""Person 2"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",0,1,3,2,2,3
21,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",0,1,2,3,2,3
22,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 3"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",0,1,3,3,2,2
23,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 3"",
""Good C"": ""Person 2"",
""Good D"": ""Person 2"",
""Good E"": ""Person 2""
}",0,1,3,2,2,2
24,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 3"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Good E"": ""Person 2""
}",0,1,2,3,1,3
25,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 2""
}",0,1,3,3,2,2
26,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",0,1,2,3,2,3
27,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 3"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Good E"": ""Person 2""
}",0,1,2,3,1,3
28,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 3"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",0,1,3,3,2,3
29,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 3"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1"",
""Good E"": ""Person 2""
}",0,1,3,3,1,2
30,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",0,1,2,3,2,3
31,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",0,1,3,3,2,2
32,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",0,1,3,2,2,3
