,Text,Good A,Good B,Good C,Good D,Good E
0,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": [""Good E""]
}",1,2,2,1,3
1,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good E""],
""Person 3"": [""Good E""]
}",1,2,2,1,2
2,"{
""Person 1"": [""Good A"", ""Good B""],
""Person 2"": [""Good C"", ""Good D""],
""Person 3"": [""Good E""]
}",1,1,2,2,3
3,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good E""],
""Person 3"": []
}",1,2,2,1,2
4,"{
""Person 1"": ""Good A, Good D"",
""Person 2"": ""Good B, Good C, Good E"",
""Person 3"": ""None""
}",1,2,2,1,2
5,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good E""],
""Person 3"": [""Good C"", ""Good E""]
}",1,2,3,1,2
6,"```JSON
{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good E""],
""Person 3"": []
}
```",1,2,2,1,2
7,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good E""], 
""Person 3"": []
}",1,2,2,1,2
8,"{
""Person 1"": ""Good A, Good D"",
""Person 2"": ""Good B, Good C, Good E"",
""Person 3"": """"
}",1,2,2,1,2
9,"{
""Person 1"": ""Good A, Good D"",
""Person 2"": ""Good B, Good C, Good E"",
""Person 3"": null
}",1,2,2,1,2
10,"{
""Person 1"": [""Good B"", ""Good C"", ""Good D""],
""Person 2"": [""Good A""],
""Person 3"": [""Good E""]
}",2,1,1,1,3
11,"{
""Person 1"": [""Good C"", ""Good D""],
""Person 2"": [""Good B"", ""Good E""],
""Person 3"": [""Good A""]
}",3,2,1,1,2
12,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": [""Good E""]
}",1,2,2,1,3
13,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good E""],
""Person 3"": [""Good D""]
}",1,2,2,1,2
14,"{
""Person 1"": ""Good A, Good B, Good E"",
""Person 2"": ""Good C, Good D"",
""Person 3"": null
}",1,1,2,2,1
15,"{
""Person 1"": ""Good A, Good D"",
""Person 2"": ""Good B, Good C, Good E"",
""Person 3"": ""None""
}",1,2,2,1,2
16,"{
""Person 1"": [""Good A"", ""Good D"", ""Good E""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": []
}",1,2,2,1,1
17,"{
  ""Person 1"": [""Good A"", ""Good C"", ""Good D""],
  ""Person 2"": [""Good B"", ""Good E""],
  ""Person 3"": [""Good C""]
}",1,2,3,1,2
18,"```JSON
{
""Person 1"": [""Good A"", ""Good D"", ""Good E""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": []
}
```",1,2,2,1,1
19,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good E""],
""Person 3"": [""Good A"", ""Good B"", ""Good C"", ""Good D"", ""Good E""]
}",3,3,3,3,3
20,"{
""Person 1"": [""Good A"", ""Good C""],
""Person 2"": [""Good B"", ""Good D""],
""Person 3"": [""Good E""]
}",1,2,1,2,3
21,"{
""Person 1"": [""Good A"", ""Good C"", ""Good D""],
""Person 2"": [""Good B"", ""Good E""],
""Person 3"": [""Good C""]
}",1,2,1,1,2
22,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good E""],
""Person 3"": [""Good C""]
}",1,2,3,1,2
23,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": [""Good E""]
}",1,2,2,1,3
24,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good E""],
""Person 3"": [""Good C""]
}",1,2,3,1,2
25,"{
""Person 1"": [""Good D"", ""Good E""],
""Person 2"": [""Good A"", ""Good B"", ""Good C""],
""Person 3"": [""Good C""]
}",2,2,3,1,1
26,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good E""],
""Person 3"": [""Good D""]
}",1,2,2,1,2
27,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good E""],
""Person 3"": [""Good C""]
}",1,2,3,1,2
28,"{
""Person 1"": ""Good A, Good B"",
""Person 2"": ""Good C, Good D"",
""Person 3"": ""Good E""
}",1,1,2,2,3
29,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good E""],
""Person 3"": [""Good D""]
}",1,2,2,1,2
30,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": [""Good E""]
}",1,2,2,1,3
31,"```
{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good E""],
""Person 3"": [""Good A""]
}
```",1,2,2,1,2
32,"{
""Person 1"": [""Good D"", ""Good E""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": [""Good A""]
}",3,2,2,1,1
33,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": [""Good E""]
}",1,2,2,1,3
34,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good E""],
""Person 3"": [""Good D""]
}",1,2,2,1,2
35,"{
""Person 1"": ""Good A, Good D"",
""Person 2"": ""Good B, Good C, Good E"",
""Person 3"": None
}",1,2,2,1,2
36,"{
""Person 1"": [""Good C"", ""Good D""],
""Person 2"": [""Good E"", ""Good B""],
""Person 3"": [""Good A""]
}",3,2,1,1,2
37,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good E""],
""Person 3"": []
}",1,2,2,1,2
38,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good E""],
""Person 3"": [""Good C""]
}",1,2,3,1,2
39,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": [""Good E""]
}",1,2,2,1,3
40,"{
""Person 1"": ""Good A, Good D"",
""Person 2"": ""Good B, Good C"",
""Person 3"": ""Good E""
}",1,2,2,1,3
41,"{
""Person 1"": [""Good A"", ""Good C"", ""Good D""],
""Person 2"": [""Good B"", ""Good E""],
""Person 3"": [""Good C""]
}",1,2,3,1,2
42,"{
""Person 1"": [""Good A"", ""Good E""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": [""Good D""]
}",1,2,2,3,1
43,"{
""Person 1"": [""Good A"", ""Good C""],
""Person 2"": [""Good B"", ""Good D""],
""Person 3"": [""Good E"", ""Good C""]
}",1,2,3,2,3
44,"{
""Person 1"": [""Good A""],
""Person 2"": [""Good B"", ""Good D"", ""Good E""],
""Person 3"": [""Good C""]
}",1,2,3,2,2
45,"{
""Person 1"": ""Good A, Good E"",
""Person 2"": ""Good B, Good D"",
""Person 3"": ""Good C""
}",1,2,3,2,1
46,"{
""Person 1"": [""Good A"", ""Good C""],
""Person 2"": [""Good B"", ""Good D""],
""Person 3"": [""Good E""]
}",1,2,1,2,3
47,"{
""Person 1"": ""Good A, Good D"",
""Person 2"": ""Good B, Good C, Good E"",
""Person 3"": """"
}",1,2,2,1,2
48,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good E""],
""Person 3"": []
}",1,2,2,1,2
49,"{
""Person 1"": [""Good A"", ""Good D"", ""Good E""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": [""Good D""]
}",1,2,2,1,1
50,"{
""Person 1"": ""Good A"",
""Person 2"": ""Good B, Good D"",
""Person 3"": ""Good C, Good E""
}",1,2,3,2,3
