,Text,Tokens,Good A,Good B,Good C,Good D
0,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",961,3,You,2,None
1,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",967,3,You,2,3
2,"{
""Good A"": ""Person 2"",
""Good B"": ""You"",
""Good C"": ""Person 3"",
""Good D"": ""None""
}",961,3,None,2,You
3,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 3"",
""Good C"": ""Person 2"",
""Good D"": ""You""
}",967,3,3,2,You
4,"{
  ""Good A"": ""Person 3"",
  ""Good B"": ""Person 3"",
  ""Good C"": ""None"",
  ""Good D"": ""Person 2""
}
This allocation distributes Good A and Good B to the individuals who value them the most, and allocates Good D to Person 2 who values it the most. Good C is discarded because none of the individuals value it highly.",1069,3,3,None,2
5,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",961,None,2,3,You
6,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""None"",
""Good D"": ""Person 2""
}",961,3,You,None,2
7,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 3"",
""Good C"": ""None"",
""Good D"": ""Person 2""
}",967,3,2,None,3
8,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2""
}",967,3,You,3,2
9,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 2"",
""Good C"": ""You"",
""Good D"": ""None""
}",961,3,You,2,None
10,"{
""Good A"": ""Person 2"",
""Good B"": ""You"",
""Good C"": ""Person 3"",
""Good D"": ""None""
}",961,3,3,You,None
11,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 3"",
""Good C"": ""Person 2"",
""Good D"": ""You""
}",967,3,You,2,3
12,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",961,3,You,2,None
13,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 3"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",967,3,3,You,2
14,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 3"",
""Good C"": ""You"",
""Good D"": ""Person 2""
}",967,3,3,You,2
15,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""Person 2""
}",967,3,You,2,2
16,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",961,3,You,2,None
17,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",961,3,You,2,None
18,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 3"",
""Good C"": ""Person 2"",
""Good D"": ""You""
}",967,3,3,2,You
19,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 3"",
""Good C"": ""Person 2"",
""Good D"": ""Person 2""
}",973,3,3,2,2
20,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",961,3,You,2,None
21,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""None"",
""Good D"": ""Person 2""
}",965,3,You,None,2
22,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""Person 2""
}",967,3,You,2,2
23,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",967,3,You,2,3
24,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",961,3,You,2,None
25,"{
  ""Good A"": ""Person 3"",
  ""Good B"": ""You"",
  ""Good C"": ""Person 2"",
  ""Good D"": ""None""
}",974,3,You,2,None
26,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 3"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",967,3,3,2,None
27,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2""
}",967,3,You,3,2
28,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",967,3,You,2,3
29,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",961,3,You,2,None
30,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",961,3,You,2,None
31,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",961,3,You,2,None
32,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",961,3,You,2,None
33,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",961,3,You,2,None
34,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",961,3,You,2,None
35,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""None"",
""Good D"": ""Person 2""
}",961,3,You,None,2
36,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",967,3,You,3,2
37,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",961,3,You,2,None
38,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",967,3,You,2,3
39,"{
""Good A"": ""Person 3"",
""Good B"": ""You"",
""Good C"": ""Person 2"",
""Good D"": ""None""
}",961,3,You,2,None
