,Text,Tokens,Good A,Good B,Good C,Good D,Good E
0,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",1098,1,2,None,2,3
1,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""None""
}",1092,1,2,3,None,None
2,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""None"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",1098,1,None,2,2,3
3,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 3"",
""Good C"": ""Person 2"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",1104,3,2,2,1,1
4,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 3"",
""Good C"": ""Person 2"",
""Good D"": ""Person 2"",
""Good E"": ""Person 2""
}",1105,1,None,2,None,3
5,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",1100,1,None,2,None,3
6,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""None""
}",1092,1,2,3,None,None
7,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""None""
}",1092,1,3,2,None,None
8,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 2""
}",1102,1,2,3,None,2
9,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 2""
}",1098,1,2,3,None,2
10,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 2""
}",1096,1,2,None,None,2
11,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 3""
}",1102,2,None,3,1,2
12,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 2""
}",1100,1,None,2,None,3
13,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3"",
""Good E"": ""Person 2""
}",1100,1,None,None,3,2
14,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 2""
}",1098,1,None,2,3,2
15,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 2""
}",1098,1,2,3,None,2
16,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 2"",
""Good E"": ""Person 2""
}",1100,1,None,2,None,3
17,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 2""
}",1103,1,2,3,None,2
18,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 3"",
""Good C"": ""Person 2"",
""Good D"": ""None"",
""Good E"": ""Person 2""
}",1098,1,3,2,None,2
