,Text,Tokens,Good A,Good B,Good C,Good D,Good E,Good F
0,"{
""Person 1"": ""[Good C, Good E]"",
""Person 2"": ""[Good A, Good F]"",
""Person 3"": ""[Good B, Good D]""
}",1019,2,3,1,3,1,2
1,"{
  ""Person 1"": ""[Good B, Good E]"",
  ""Person 2"": ""[Good A, Good C, Good F]"",
  ""Person 3"": ""[Good D, Good E]""
}",1031,2,1,2,3,1,2
2,"{
  ""Person 1"": ""[Good C, Good E]"",
  ""Person 2"": ""[Good A, Good F]"",
  ""Person 3"": ""[Good B, Good D]""
}",1025,2,3,1,3,1,2
3,"{
""Person 1"": ""[Good B, Good E]"",
""Person 2"": ""[Good A, Good F]"",
""Person 3"": ""[Good C, Good D]"",
}",1019,2,1,3,3,1,2
4,"{
""Person 1"": ""[Good C, Good E]"",
""Person 2"": ""[Good A, Good F]"",
""Person 3"": ""[Good B, Good D]""
}",1019,2,3,1,3,1,2
5,"{
  ""Person 1"": ""[Good C, Good E]"",
  ""Person 2"": ""[Good A, Good F]"",
  ""Person 3"": ""[Good B, Good D]""
}",1025,2,3,1,3,1,2
6,"{
""Person 1"": ""[Good C, Good E]"",
""Person 2"": ""[Good A, Good F]"",
""Person 3"": ""[Good B, Good D]""
}",1017,2,None,1,3,1,2
7,"{
""Person 1"": ""[Good C, Good E]"",
""Person 2"": ""[Good A, Good F]"",
""Person 3"": ""[Good B, Good D]""
}",1017,2,None,1,3,1,2
8,"{
  ""Person 1"": ""[Good C, Good E]"",
  ""Person 2"": ""[Good A, Good F]"",
  ""Person 3"": ""[Good B, Good D]""
}",1023,2,None,1,3,1,2
9,"{
""Person 1"": ""[Good B, Good C, Good E]"",
""Person 2"": ""[Good A, Good F]"",
""Person 3"": ""[Good D]""
}",1019,2,1,1,3,1,2
10,"{
""Person 1"": ""[Good C, Good E]"",
""Person 2"": ""[Good A, Good F]"",
""Person 3"": ""[Good B, Good D]""
}",1019,2,3,1,3,1,2
11,"{
""Person 1"": ""[Good C, Good E]"",
""Person 2"": ""[Good A, Good F]"",
""Person 3"": ""[Good B, Good D]""
}",1017,2,3,1,None,1,2
12,"{
""Person 1"": ""[Good C, Good E]"",
""Person 2"": ""[Good A, Good F]"",
""Person 3"": ""[Good B, Good D]""
}",1017,2,3,1,None,1,2
13,"{
""Person 1"": ""[Good B, Good E]"",
""Person 2"": ""[Good A, Good C, Good F]"",
""Person 3"": ""[Good D]""
}",1019,2,1,2,3,1,2
14,"{
""Person 1"": ""[Good B, Good C, Good E]"",
""Person 2"": ""[Good A, Good F]"",
""Person 3"": ""[Good D]""
}",1019,2,1,1,3,1,2
15,"{
  ""Person 1"": ""[Good B, Good E]"",
  ""Person 2"": ""[Good A, Good F]"",
  ""Person 3"": ""[Good C, Good D]""
}",1025,2,1,3,3,1,2
16,"{
""Person 1"": ""[Good C, Good E]"",
""Person 2"": ""[Good A, Good F]"",
""Person 3"": ""[Good B, Good D]""
}",1017,2,3,1,None,1,2
