,Text,Good A,Good B,Good C,Good D
0,"{
""Person 1"": ""Good A, Good D"",
""Person 2"": ""Good C"",
""Person 3"": ""Good B""
}",1,3,2,1
1,"{
""Person 1"": [""Good A"", ""Good B""],
""Person 2"": [""Good C""],
""Person 3"": [""Good D""]
}",1,1,2,3
2,"{
""Person 1"": [""Good A""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": [""Good D""]
}",1,2,2,3
3,"{
""Person 1"": [""Good D""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": [""Good A""]
}",3,2,2,1
4,"{
""Person 1"": [""Good A""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": [""Good D""]
}",1,2,2,3
5,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": []
}",1,2,2,1
6,"{
""Person 1"": [""Good B""],
""Person 2"": [""Good A"", ""Good C""],
""Person 3"": [""Good D""]
}",2,1,2,3
7,"```JSON
{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good C""],
""Person 3"": [""Good B""]
}
```",1,3,2,1
8,"{
""Person 1"": ""Good D"",
""Person 2"": ""Good B"",
""Person 3"": ""Good A, Good C""
}",3,2,3,1
9,"{
""Person 1"": [""Good A""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": [""Good D""]
}",1,2,2,3
10,"{
""Person 1"": [""Good D""],
""Person 2"": [""Good C""],
""Person 3"": [""Good A"", ""Good B""]
}",3,3,2,1
11,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": []
}",1,2,2,1
12,"{
""Person 1"": [""Good B""],
""Person 2"": [""Good A"", ""Good C""],
""Person 3"": [""Good D""]
}",2,1,2,3
13,"{
""Person 1"": ""Good A, Good C"",
""Person 2"": ""Good B"",
""Person 3"": ""Good D""
}",1,2,1,3
14,"{
""Person 1"": [""Good D""],
""Person 2"": [""Good A"", ""Good C""],
""Person 3"": [""Good B""]
}",2,3,2,1
15,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good C""],
""Person 3"": [""Good B""]
}",1,3,2,1
16,"{
""Person 1"": [""Good B"", ""Good C""],
""Person 2"": [""Good A"", ""Good D""],
""Person 3"": [""Good C""]
}",2,1,3,2
17,"{
""Person 1"": ""Good B"",
""Person 2"": ""Good A, Good C"",
""Person 3"": ""Good D""
}",2,1,2,3
18,"{
""Person 1"": [""Good B"", ""Good C""],
""Person 2"": [""Good A"", ""Good D""],
""Person 3"": [""Good C""]
}",2,1,1,2
19,"{
""Person 1"": [""Good A"", ""Good B""],
""Person 2"": [""Good C""],
""Person 3"": [""Good D""]
}",1,1,2,3
20,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good C""],
""Person 3"": [""Good B""]
}",1,3,2,1
21,"{
""Person 1"": [""Good B""],
""Person 2"": [""Good A"", ""Good C""],
""Person 3"": [""Good D""]
}",2,1,2,3
22,"```JSON
{
""Person 1"": [""Good B"", ""Good C""],
""Person 2"": [""Good A"", ""Good D""],
""Person 3"": []
}
```",2,1,1,2
23,"{
""Person 1"": ""Good D"",
""Person 2"": ""Good A, Good C"",
""Person 3"": ""Good B""
}",2,3,2,1
24,"{
""Person 1"": [""Good B"", ""Good D""],
""Person 2"": [""Good A"", ""Good C""],
""Person 3"": []
}",2,1,2,1
25,"{
""Person 1"": [""Good A"", ""Good B""],
""Person 2"": [""Good C"", ""Good D""],
""Person 3"": []
}",1,1,2,2
26,"{
""Person 1"": [""Good B"", ""Good C""],
""Person 2"": [""Good A"", ""Good D""],
""Person 3"": [""Good C""]
}",2,1,1,2
27,"{
""Person 1"": [""Good A"", ""Good B""],
""Person 2"": [""Good C""],
""Person 3"": [""Good D""]
}",1,1,2,3
28,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good C""],
""Person 3"": [""Good B""]
}",1,3,2,1
29,"{
""Person 1"": [""Good A"", ""Good B""],
""Person 2"": [""Good C""],
""Person 3"": [""Good D""]
}",1,1,2,3
30,"{
""Person 1"": [""Good A"", ""Good B""],
""Person 2"": [""Good C"", ""Good D""],
""Person 3"": []
}",1,1,2,2
31,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good C""],
""Person 3"": [""Good B""]
}",1,3,2,1
32,"{
""Person 1"": [""Good A"", ""Good C""],
""Person 2"": [""Good B""],
""Person 3"": [""Good D""]
}",1,2,1,3
33,"{
""Person 1"": ""Good A"",
""Person 2"": ""Good B, Good C"",
""Person 3"": ""Good D""
}",1,2,2,3
34,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good C""],
""Person 3"": [""Good B""]
}",1,3,2,1
35,"{
""Person 1"": [""Good A"", ""Good B""],
""Person 2"": [""Good C"", ""Good D""],
""Person 3"": []
}",1,1,2,2
36,"{
""Person 1"": [""Good A"", ""Good C""],
""Person 2"": [""Good B""],
""Person 3"": [""Good D""]
}",1,2,1,3
37,"{
""Person 1"": [""Good B"", ""Good C""],
""Person 2"": [""Good A"", ""Good D""],
""Person 3"": [""Good B""]
}",2,1,1,2
38,"{
""Person 1"": [""Good C""],
""Person 2"": [""Good A"", ""Good B""],
""Person 3"": [""Good D""]
}",2,2,1,3
39,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": []
}",1,2,2,1
40,"{
""Person 1"": [""Good B""],
""Person 2"": [""Good A"", ""Good C""],
""Person 3"": [""Good D""]
}",2,1,2,3
41,"{
""Person 1"": ""Good B"",
""Person 2"": ""Good A, Good C"",
""Person 3"": ""Good D""
}",2,1,2,3
42,"{
""Person 1"": [""Good D""],
""Person 2"": [""Good C""],
""Person 3"": [""Good A"", ""Good B""]
}",3,3,2,1
43,"{
""Person 1"": [""Good B"", ""Good C""],
""Person 2"": [""Good A"", ""Good D""],
""Person 3"": [""Good C""]
}",2,1,1,2
44,"{
""Person 1"": [""Good B"", ""Good C""],
""Person 2"": [""Good A"", ""Good D""],
""Person 3"": [""Good B""]
}",2,1,1,2
45,"{
""Person 1"": [""Good A"", ""Good C""],
""Person 2"": [""Good B""],
""Person 3"": [""Good D""]
}",1,2,1,3
46,"{
""Person 1"": [""Good A"", ""Good B""],
""Person 2"": [""Good C""],
""Person 3"": [""Good D""]
}",1,1,2,3
47,"{
""Person 1"": [""Good B"", ""Good C""],
""Person 2"": [""Good A"", ""Good D""],
""Person 3"": [""Good C""]
}",2,1,1,2
48,"{
""Person 1"": [""Good A"", ""Good C""],
""Person 2"": [""Good D"", ""Good B""],
""Person 3"": [""Good A""]
}",3,2,1,2
49,"{
""Person 1"": [""Good A"", ""Good C""],
""Person 2"": [""Good B"", ""Good D""],
""Person 3"": []
}",1,2,1,2
50,"{
""Person 1"": [""Good A"", ""Good C""],
""Person 2"": [""Good B""],
""Person 3"": [""Good D""]
}",1,2,1,3
51,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good C""],
""Person 3"": [""Good B""]
}",1,3,2,1
52,"{
""Person 1"": [ ""Good A"", ""Good D"" ],
""Person 2"": [ ""Good B"", ""Good C"" ],
""Person 3"": []
}",1,2,2,1
53,"{
""Person 1"": [""Good C""],
""Person 2"": [""Good A"", ""Good B"", ""Good D""],
""Person 3"": []
}",2,2,1,2
54,"```json
{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": []
}
```",1,2,2,1
55,"{
""Person 1"": ""Good A, Good C"",
""Person 2"": ""Good B"",
""Person 3"": ""Good D""
}",1,2,1,3
56,"{
""Person 1"": [""Good B""],
""Person 2"": [""Good A"", ""Good C""],
""Person 3"": [""Good D""]
}",2,1,2,3
57,"{
""Person 1"": [""Good B""],
""Person 2"": [""Good C""],
""Person 3"": [""Good A"", ""Good D""]
}",3,1,2,3
58,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good C""],
""Person 3"": [""Good B""]
}",1,3,2,1
59,"{
""Person 1"": [""Good D""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": [""Good A""]
}",3,2,2,1
60,"{
""Person 1"": [""Good B""],
""Person 2"": [""Good A"", ""Good C""],
""Person 3"": [""Good D""]
}",2,1,2,3
61,"{
""Person 1"": ""Good A, Good D"",
""Person 2"": ""Good B, Good C"",
""Person 3"": ""Nothing""
}",1,2,2,1
62,"{
""Person 1"": ""Good B"",
""Person 2"": ""Good A, Good C"",
""Person 3"": ""Good D""
}",2,1,2,3
63,"{
""Person 1"": [""Good A"", ""Good B""],
""Person 2"": [""Good C"", ""Good D""],
""Person 3"": []
}",1,1,2,2
64,"{
""Person 1"": [""Good A""],
""Person 2"": [""Good B"", ""Good C""],
""Person 3"": [""Good D""]
}",1,2,2,3
65,"{
""Person 1"": [""Good B"", ""Good C"", ""Good D""],
""Person 2"": [""Good A""],
""Person 3"": []
}",2,1,1,1
66,"{
""Person 1"": ""Good A"",
""Person 2"": ""Good B, Good C"",
""Person 3"": ""Good D""
}",1,2,2,3
